Generation: 45	Total Reward: 7730.0
Reward: 500   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 417   	chromosome: [71, 100]                     [0.785, 1.81, 0.145, 0.411]
Reward: 292   	chromosome: [71, 100]                     [0.785, 1.047, 0.145, 0.411]
Reward: 283   	chromosome: [71, 100]                     [0.785, 1.151, 0.145, 0.411]
Reward: 249   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.211, 0.411]
Reward: 234   	chromosome: [71, 100, 13, 22]             [0.785, 1.201, 0.145, 0.411]
Reward: 220   	chromosome: [71, 100]                     [0.785, 1.81, 0.145, 0.411]
Reward: 210   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 209   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 207   	chromosome: [71, 100]                     [0.785, 1.81, 0.145, 0.411]
Reward: 200   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 192   	chromosome: [71, 100, 13, 22]             [0.785, 1.047, 0.145, 0.411]
Reward: 189   	chromosome: [71, 100]                     [0.785, 1.201, 0.145, 0.411]
Reward: 187   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.211, 0.411]
Reward: 186   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 178   	chromosome: [71, 100]                     [0.785, 1.047, 0.145, 0.411]
Reward: 173   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 172   	chromosome: [71, 100]                     [0.785, 1.81, 0.211, 0.411]
Reward: 172   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 168   	chromosome: [86, 103, 13, 22]             [0.785, 1.504, 0.145, 0.411]
Reward: 168   	chromosome: [71, 100]                     [0.785, 1.81, 0.199, 0.411]
Reward: 167   	chromosome: [71, 100, 13, 22]             [0.785, 1.047, 0.145, 0.411]
Reward: 167   	chromosome: [71, 100]                     [0.785, 1.047, 0.145, 0.411]
Reward: 159   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.4385]
Reward: 154   	chromosome: [71, 100, 13, 22]             [0.785, 1.827, 0.145, 0.411]
Reward: 152   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 147   	chromosome: [71, 100]                     [0.785, 1.81, 0.145, 0.411]
Reward: 146   	chromosome: [71, 100, 13, 22]             [0.785, 1.047, 0.145, 0.411]
Reward: 146   	chromosome: [71, 100]                     [0.785, 1.81, 0.211, 0.411]
Reward: 142   	chromosome: [71, 100]                     [0.785, 1.039, 0.145, 0.411]
Reward: 141   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 139   	chromosome: [71, 100, 13, 22]             [0.785, 1.201, 0.145, 0.411]
Reward: 129   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 110   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 107   	chromosome: [71, 100, 13, 22]             [0.785, 1.81, 0.211, 0.411]
Reward: 93   	chromosome: [71, 100]                     [0.785, 1.81, 0.145, 0.411]
Reward: 59   	chromosome: [71, 100]                     [0.785, 1.81, 0.145, 0.411]
Reward: 57   	chromosome: [71, 100]                     [0.785, 1.81, 0.145, 0.2135]
Reward: 42   	chromosome: [71, 100, 13, 22]             [0.043, 1.81, 0.145, 0.051]
Reward: 41   	chromosome: [71, 100]                     [0.785, 1.81, 0.211, 0.411]
Reward: 35   	chromosome: [71, 100]                     [0.785, 1.81, 0.145, 0.411]
Reward: 24   	chromosome: [15, 173, 60]                 [0.675, 0.399, 0.119, 0.411]
Reward: 22   	chromosome: [210, 143, 87]                [0.59, 0.656, 0.073, 0.309]
Reward: 22   	chromosome: [181, 100, 13, 22]            [0.785, 0.403, 0.093, 0.411]
Reward: 12   	chromosome: [22, 108, 13, 22]             [0.785, 1.047, 0.145, 0.411]
Reward: 12   	chromosome: [71, 100]                     [0.785, 1.81, 0.145, 0.411]
Reward: 10   	chromosome: [39, 79, 224, 71]             [0.785, 1.81, 0.211, 0.187]
Reward: 10   	chromosome: [211, 186, 194, 121, 181]     [0.222, 1.929, 0.199, 0.0965]
Reward: 10   	chromosome: [148, 32]                     [0.272, 0.147, 0.238, 0.2725]
Reward: 10   	chromosome: [173, 174]                    [0.735, 1.795, 0.139, 0.4415]
Reward: 10   	chromosome: [207, 224]                    [0.785, 1.81, 0.119, 0.411]
Reward: 10   	chromosome: [197, 36, 44, 22]             [0.785, 1.81, 0.145, 0.411]
Reward: 10   	chromosome: [15, 233, 29]                 [0.675, 0.569, 0.119, 0.1765]
Reward: 10   	chromosome: [72, 249, 137, 249]           [0.716, 1.986, 0.072, 0.23]
Reward: 10   	chromosome: [114, 176]                    [0.63, 0.203, 0.153, 0.02]
