Generation: 104	Total Reward: 16134.0
Reward: 500   	chromosome: [81, 201, 153, 201, 117]      [0.405, 0.662, 0.024, 0.001]
Reward: 500   	chromosome: [81, 28, 153, 81]             [0.126, 1.625, 0.024, 0.001]
Reward: 500   	chromosome: [148, 153, 81, 81]            [0.126, 0.662, 0.024, 0.001]
Reward: 478   	chromosome: [81, 28, 153, 81]             [0.126, 1.625, 0.024, 0.001]
Reward: 391   	chromosome: [81, 201, 81, 81]             [0.126, 0.116, 0.024, 0.001]
Reward: 343   	chromosome: [148, 153, 81, 81]            [0.126, 0.811, 0.013, 0.001]
Reward: 337   	chromosome: [148, 153, 81, 81]            [0.126, 1.625, 0.024, 0.001]
Reward: 311   	chromosome: [148, 153, 81, 81]            [0.126, 0.811, 0.024, 0.001]
Reward: 279   	chromosome: [81, 102, 81, 81]             [0.126, 0.57, 0.024, 0.001]
Reward: 278   	chromosome: [81, 102, 81, 81]             [0.175, 0.662, 0.024, 0.001]
Reward: 275   	chromosome: [153, 81, 148, 153]           [0.126, 0.57, 0.225, 0.508]
Reward: 272   	chromosome: [102, 81, 153, 201]           [0.126, 0.57, 0.024, 0.001]
Reward: 264   	chromosome: [153, 201, 81, 81]            [0.126, 1.625, 0.024, 0.001]
Reward: 240   	chromosome: [81, 102, 81, 81]             [0.126, 0.57, 0.024, 0.001]
Reward: 240   	chromosome: [153, 201, 81, 81]            [0.405, 0.662, 0.024, 0.001]
Reward: 238   	chromosome: [153, 81, 148, 81]            [0.126, 0.811, 0.152, 0.001]
Reward: 238   	chromosome: [81, 153, 81, 148]            [0.405, 0.57, 0.17, 0.001]
Reward: 237   	chromosome: [153, 201, 81, 81]            [0.594, 0.811, 0.024, 0.001]
Reward: 236   	chromosome: [81, 153, 81, 148]            [0.594, 0.811, 0.024, 0.001]
Reward: 231   	chromosome: [153, 81, 148, 81]            [0.126, 0.883, 0.024, 0.001]
Reward: 230   	chromosome: [153, 81, 153, 153]           [0.126, 1.155, 0.024, 0.001]
Reward: 227   	chromosome: [153, 201, 81, 81]            [0.126, 0.116, 0.024, 0.001]
Reward: 227   	chromosome: [81, 153, 201, 81]            [0.126, 0.116, 0.024, 0.001]
Reward: 214   	chromosome: [153, 201, 81, 81]            [0.172, 0.116, 0.152, 0.001]
Reward: 214   	chromosome: [102, 81, 153, 201]           [0.126, 0.662, 0.024, 0.001]
Reward: 207   	chromosome: [148, 153, 81, 81]            [0.126, 0.662, 0.024, 0.001]
Reward: 206   	chromosome: [153, 201, 81, 81]            [0.594, 0.811, 0.013, 0.001]
Reward: 204   	chromosome: [81, 153, 81, 148]            [0.126, 1.625, 0.024, 0.001]
Reward: 200   	chromosome: [153, 81, 148, 81]            [0.126, 1.625, 0.024, 0.001]
Reward: 198   	chromosome: [81, 120]                     [0.126, 0.662, 0.024, 0.001]
Reward: 194   	chromosome: [153, 81, 153, 153]           [0.126, 0.883, 0.024, 0.001]
Reward: 194   	chromosome: [153, 153, 200, 81]           [0.126, 0.883, 0.024, 0.001]
Reward: 193   	chromosome: [81, 153, 201, 81]            [0.126, 0.57, 0.024, 0.001]
Reward: 192   	chromosome: [81, 153, 81, 148]            [0.126, 1.625, 0.024, 0.001]
Reward: 188   	chromosome: [148, 153, 81, 81]            [0.126, 0.811, 0.024, 0.001]
Reward: 187   	chromosome: [81, 148, 153, 201]           [0.126, 1.625, 0.225, 0.001]
Reward: 186   	chromosome: [153, 81, 148, 81]            [0.405, 0.22, 0.152, 0.001]
Reward: 183   	chromosome: [81, 148, 81, 153]            [0.126, 0.811, 0.028, 0.001]
Reward: 181   	chromosome: [153, 81, 148, 81]            [0.126, 0.811, 0.028, 0.001]
Reward: 178   	chromosome: [153, 81, 148, 81]            [0.594, 0.57, 0.225, 0.001]
Reward: 174   	chromosome: [81, 102, 81, 81]             [0.126, 0.57, 0.024, 0.001]
Reward: 173   	chromosome: [153, 81, 148, 81]            [0.405, 0.811, 0.152, 0.001]
Reward: 171   	chromosome: [81, 81, 153, 201, 117]       [0.126, 0.57, 0.024, 0.001]
Reward: 170   	chromosome: [81, 153, 201, 81]            [0.126, 1.596, 0.024, 0.001]
Reward: 168   	chromosome: [153, 81, 148, 81]            [0.405, 0.662, 0.024, 0.001]
Reward: 164   	chromosome: [81, 153, 117]                [0.126, 0.57, 0.024, 0.001]
Reward: 163   	chromosome: [81, 153, 153, 81]            [0.126, 1.596, 0.225, 0.508]
Reward: 160   	chromosome: [148, 153, 81, 81]            [0.126, 1.506, 0.024, 0.001]
Reward: 159   	chromosome: [81, 28, 81, 81]              [0.126, 1.625, 0.028, 0.001]
Reward: 159   	chromosome: [148, 153, 81, 81]            [0.126, 0.811, 0.024, 0.001]
Reward: 158   	chromosome: [153, 81, 148, 81]            [0.126, 0.118, 0.024, 0.001]
Reward: 157   	chromosome: [148, 153, 81, 81]            [0.126, 0.662, 0.024, 0.001]
Reward: 155   	chromosome: [148, 153, 81, 81]            [0.126, 0.662, 0.024, 0.001]
Reward: 152   	chromosome: [148, 153, 81, 81]            [0.126, 0.662, 0.024, 0.001]
Reward: 149   	chromosome: [148, 81, 153, 201, 81]       [0.175, 0.116, 0.024, 0.001]
Reward: 146   	chromosome: [153, 201, 81, 81]            [0.594, 0.116, 0.024, 0.001]
Reward: 144   	chromosome: [201, 81, 81]                 [0.175, 0.662, 0.024, 0.001]
Reward: 142   	chromosome: [153, 81, 148, 153]           [0.126, 1.625, 0.024, 0.001]
Reward: 138   	chromosome: [201, 81, 81]                 [0.126, 0.662, 0.024, 0.001]
Reward: 138   	chromosome: [153, 201, 81, 81]            [0.405, 0.662, 0.024, 0.001]
Reward: 136   	chromosome: [81, 153, 81, 148]            [0.058, 1.625, 0.024, 0.001]
Reward: 119   	chromosome: [201, 120, 81]                [0.126, 0.662, 0.024, 0.001]
Reward: 109   	chromosome: [120, 81, 146, 201]           [0.175, 0.662, 0.003, 0.001]
Reward: 107   	chromosome: [81, 148, 201, 81]            [0.175, 1.625, 0.024, 0.001]
Reward: 105   	chromosome: [38, 81, 153, 148]            [0.594, 0.811, 0.024, 0.001]
Reward: 95   	chromosome: [153, 81, 148, 153]           [0.405, 0.57, 0.225, 0.508]
