Generation: 10	Total Reward: 4964.0
Reward: 257   	chromosome: [178, 117, 132, 81, 145]      [0.0615, 0.4285, 0.0315, 0.32875]
Reward: 256   	chromosome: [202, 121]                    [0.3025, 0.411, 0.0315, 0.23525]
Reward: 251   	chromosome: [178, 117, 132, 81, 145]      [0.3025, 0.4285, 0.0315, 0.32875]
Reward: 244   	chromosome: [178, 117, 132, 81, 145]      [0.0615, 0.4285, 0.0315, 0.6405]
Reward: 242   	chromosome: [132, 81]                     [0.3025, 0.4285, 0.0315, 0.66875]
Reward: 241   	chromosome: [178, 117, 132, 81, 145]      [0.3025, 0.4285, 0.0315, 0.32875]
Reward: 235   	chromosome: [178, 117, 132, 81, 145]      [0.3025, 0.3, 0.052, 0.31575]
Reward: 231   	chromosome: [202, 121]                    [0.3025, 0.708, 0.048, 0.6405]
Reward: 230   	chromosome: [132, 81]                     [0.0615, 0.325, 0.0315, 0.6405]
Reward: 228   	chromosome: [132, 81]                     [0.0615, 0.411, 0.0525, 0.23525]
Reward: 228   	chromosome: [132, 81]                     [0.0615, 0.708, 0.0525, 0.7175]
Reward: 224   	chromosome: [132, 81]                     [0.0615, 0.4285, 0.0315, 0.6405]
Reward: 181   	chromosome: [132, 81]                     [0.3025, 0.708, 0.0525, 0.6405]
Reward: 173   	chromosome: [132, 81]                     [0.0615, 0.708, 0.048, 0.6405]
Reward: 173   	chromosome: [132, 81]                     [0.0615, 0.411, 0.054, 0.7175]
Reward: 166   	chromosome: [132, 81]                     [0.3025, 0.325, 0.1155, 0.6405]
Reward: 156   	chromosome: [178, 117, 132, 81, 145]      [0.3025, 0.88, 0.0315, 0.33975]
Reward: 147   	chromosome: [178, 117, 132, 81, 145]      [0.248, 0.4285, 0.108, 0.32875]
Reward: 145   	chromosome: [132, 81]                     [0.041, 0.708, 0.1155, 0.6405]
Reward: 136   	chromosome: [132, 81]                     [0.0615, 0.325, 0.0525, 0.6405]
Reward: 41   	chromosome: [105, 105, 17, 35]            [0.357, 0.213, 0.09, 0.549]
Reward: 19   	chromosome: [81, 178, 132, 81, 145]       [0.3025, 0.708, 0.0525, 0.6405]
Reward: 17   	chromosome: [53, 183, 35, 214]            [0.254, 0.0305, 0.0185, 0.7415]
Reward: 16   	chromosome: [165, 153]                    [0.085, 0.599, 0.005, 0.47625]
Reward: 15   	chromosome: [117, 145]                    [0.0615, 0.708, 0.0315, 0.6405]
Reward: 13   	chromosome: [214, 166, 179, 100, 88]      [0.2635, 0.566, 0.0235, 0.41475]
Reward: 12   	chromosome: [110, 92, 132, 81, 145]       [0.3025, 0.4285, 0.0365, 0.5835]
Reward: 11   	chromosome: [132, 81, 178, 132, 145]      [0.0615, 0.411, 0.0315, 0.32875]
Reward: 11   	chromosome: [57, 36]                      [0.391, 0.218, 0.041, 0.37125]
Reward: 11   	chromosome: [8, 201, 53, 194, 87]         [0.0705, 0.3735, 0.103, 0.44025]
Reward: 10   	chromosome: [145, 237, 178, 132, 81]      [0.3025, 0.4285, 0.0315, 0.6405]
Reward: 10   	chromosome: [178, 117]                    [0.0615, 0.4285, 0.0315, 0.7175]
Reward: 10   	chromosome: [132, 81, 145, 132, 81]       [0.0615, 0.4285, 0.0525, 0.7175]
Reward: 10   	chromosome: [178, 117]                    [0.0615, 0.708, 0.0315, 0.6405]
Reward: 10   	chromosome: [11, 8, 130]                  [0.2125, 0.034, 0.0055, 0.3635]
Reward: 10   	chromosome: [113, 47]                     [0.104, 0.438, 0.0925, 0.065]
Reward: 10   	chromosome: [204, 81, 117]                [0.3025, 0.4285, 0.0315, 0.25725]
Reward: 10   	chromosome: [122, 191, 120, 161, 67]      [0.3385, 0.166, 0.0005, 0.19725]
Reward: 10   	chromosome: [132, 117]                    [0.0615, 0.708, 0.048, 0.7175]
Reward: 10   	chromosome: [178, 117]                    [0.3025, 0.411, 0.0525, 0.32875]
Reward: 10   	chromosome: [79, 57]                      [0.1275, 0.708, 0.0525, 0.7175]
Reward: 10   	chromosome: [132, 178]                    [0.3025, 0.4285, 0.0315, 0.32875]
Reward: 10   	chromosome: [81, 145, 178, 145, 81]       [0.0615, 0.4285, 0.0315, 0.32875]
Reward: 10   	chromosome: [178, 117, 132, 81, 132]      [0.3025, 0.4285, 0.0315, 0.32875]
Reward: 10   	chromosome: [66, 130, 176, 192, 114]      [0.0125, 0.049, 0.047, 0.481]
Reward: 10   	chromosome: [91, 65, 188, 160, 168]       [0.3725, 0.385, 0.0055, 0.0675]
Reward: 10   	chromosome: [164, 35, 46, 154]            [0.3525, 0.623, 0.0525, 0.74975]
Reward: 10   	chromosome: [35, 64, 87, 179]             [0.3185, 0.157, 0.0485, 0.13275]
Reward: 10   	chromosome: [42, 150]                     [0.034, 0.541, 0.0185, 0.44975]
Reward: 10   	chromosome: [126, 6, 29]                  [0.371, 0.664, 0.0915, 0.36625]
Reward: 10   	chromosome: [111, 161]                    [0.081, 0.8875, 0.0785, 0.1135]
Reward: 10   	chromosome: [178, 145, 145, 202, 121]     [0.3025, 0.325, 0.054, 0.32875]
Reward: 10   	chromosome: [3, 209, 172, 27, 6]          [0.3525, 0.434, 0.1175, 0.7335]
Reward: 10   	chromosome: [144, 111, 33]                [0.019, 0.592, 0.0145, 0.67375]
Reward: 10   	chromosome: [250, 197]                    [0.109, 0.963, 0.0345, 0.2855]
Reward: 10   	chromosome: [202, 81]                     [0.0615, 0.708, 0.0315, 0.6405]
Reward: 10   	chromosome: [121, 132]                    [0.3025, 0.325, 0.0525, 0.6405]
Reward: 10   	chromosome: [178, 132, 132, 132, 81]      [0.0615, 0.708, 0.0525, 0.6405]
Reward: 10   	chromosome: [124, 54]                     [0.0615, 0.4285, 0.047, 0.73725]
Reward: 10   	chromosome: [117, 132, 81, 13, 204]       [0.3025, 0.4285, 0.0315, 0.3325]
Reward: 10   	chromosome: [178, 145]                    [0.0385, 0.891, 0.12, 0.7175]
Reward: 10   	chromosome: [132, 220]                    [0.0615, 0.224, 0.088, 0.6405]
Reward: 10   	chromosome: [184, 77]                     [0.2505, 0.4285, 0.0985, 0.32875]
Reward: 9   	chromosome: [7, 87, 14]                   [0.1525, 0.3275, 0.017, 0.59325]
Reward: 9   	chromosome: [115, 106, 115]               [0.0145, 0.611, 0.0055, 0.27925]
Reward: 9   	chromosome: [93, 228]                     [0.114, 0.5895, 0.1085, 0.62475]
Reward: 9   	chromosome: [178, 81, 8, 132, 81]         [0.0615, 0.4285, 0.0315, 0.32875]
Reward: 9   	chromosome: [27, 224, 46, 227, 107]       [0.1405, 0.867, 0.0775, 0.116]
Reward: 9   	chromosome: [132, 132]                    [0.05, 0.708, 0.0525, 0.6405]
Reward: 9   	chromosome: [117, 81]                     [0.3025, 0.4285, 0.0525, 0.23525]
Reward: 9   	chromosome: [249, 228, 200]               [0.048, 0.1205, 0.0325, 0.05425]
Reward: 9   	chromosome: [132, 81, 145, 132, 81]       [0.0615, 0.4285, 0.0315, 0.23525]
Reward: 9   	chromosome: [117, 132, 81, 145, 132]      [0.0615, 0.4285, 0.048, 0.7175]
Reward: 9   	chromosome: [22, 178, 81]                 [0.3025, 0.708, 0.0315, 0.6405]
