Generation: 64	Total Reward: 12615.0
Reward: 500   	chromosome: [174, 174, 165]
Reward: 290   	chromosome: [174, 174, 165]
Reward: 247   	chromosome: [174, 5, 5]
Reward: 238   	chromosome: [174, 5, 5, 174]
Reward: 230   	chromosome: [174, 5, 5, 174]
Reward: 225   	chromosome: [174, 5, 5]
Reward: 224   	chromosome: [174, 5, 5]
Reward: 215   	chromosome: [174, 5, 5, 174]
Reward: 208   	chromosome: [174, 5, 220, 5, 174]
Reward: 206   	chromosome: [174, 5]
Reward: 204   	chromosome: [174, 5, 5]
Reward: 196   	chromosome: [174, 161, 174]
Reward: 195   	chromosome: [174, 5, 5]
Reward: 194   	chromosome: [174, 161, 174]
Reward: 193   	chromosome: [174, 161, 174]
Reward: 191   	chromosome: [174, 174, 161]
Reward: 188   	chromosome: [174, 161, 174]
Reward: 185   	chromosome: [174, 161, 174]
Reward: 180   	chromosome: [174, 161, 174]
Reward: 179   	chromosome: [174, 161, 174]
Reward: 177   	chromosome: [174, 161, 174]
Reward: 169   	chromosome: [174, 161, 174]
Reward: 167   	chromosome: [174, 161, 174]
Reward: 167   	chromosome: [174, 161, 174]
Reward: 166   	chromosome: [174, 161, 174]
Reward: 164   	chromosome: [174, 5]
Reward: 161   	chromosome: [174, 5, 5]
Reward: 160   	chromosome: [174, 174, 165]
Reward: 158   	chromosome: [174, 161, 174]
Reward: 157   	chromosome: [174, 161, 174]
Reward: 156   	chromosome: [174, 161, 174]
Reward: 152   	chromosome: [174, 5, 5]
Reward: 149   	chromosome: [174, 161, 174]
Reward: 149   	chromosome: [174, 161, 174]
Reward: 147   	chromosome: [174, 161, 174]
Reward: 147   	chromosome: [9, 174, 5, 5, 174]
Reward: 145   	chromosome: [174, 161, 174]
Reward: 145   	chromosome: [174, 174, 161]
Reward: 142   	chromosome: [174, 161, 174]
Reward: 141   	chromosome: [174, 161, 174]
Reward: 141   	chromosome: [174, 174, 161]
Reward: 141   	chromosome: [174, 161, 174]
Reward: 139   	chromosome: [174, 161, 174]
Reward: 136   	chromosome: [174, 161, 174]
Reward: 136   	chromosome: [174, 161, 174]
Reward: 136   	chromosome: [174, 161, 174]
Reward: 134   	chromosome: [174, 5]
Reward: 133   	chromosome: [174, 161, 174]
Reward: 133   	chromosome: [174, 161, 174]
Reward: 133   	chromosome: [174, 161, 174]
Reward: 133   	chromosome: [174, 174, 169]
Reward: 132   	chromosome: [174, 161, 174]
Reward: 132   	chromosome: [174, 161, 174]
Reward: 129   	chromosome: [174, 161, 174]
Reward: 129   	chromosome: [174, 161, 174]
Reward: 128   	chromosome: [174, 161, 174]
Reward: 128   	chromosome: [174, 161, 174]
Reward: 128   	chromosome: [174, 161, 174]
Reward: 128   	chromosome: [174, 161, 174]
Reward: 126   	chromosome: [174, 161, 174]
Reward: 125   	chromosome: [174, 161, 174]
Reward: 124   	chromosome: [174, 161, 174]
Reward: 123   	chromosome: [174, 161, 174]
Reward: 123   	chromosome: [174, 161, 174]
Reward: 122   	chromosome: [174, 161, 174]
Reward: 121   	chromosome: [174, 161, 174]
Reward: 121   	chromosome: [174, 174, 169]
Reward: 120   	chromosome: [174, 5]
Reward: 120   	chromosome: [174, 161, 174]
Reward: 118   	chromosome: [174, 161, 174]
Reward: 117   	chromosome: [174, 161, 174]
Reward: 117   	chromosome: [174, 161, 174]
Reward: 117   	chromosome: [174, 161, 174]
Reward: 116   	chromosome: [174, 161, 174]
Reward: 113   	chromosome: [174, 161, 174]
Reward: 112   	chromosome: [174, 161, 174]
Reward: 101   	chromosome: [174, 5]
Reward: 62   	chromosome: [174, 174, 161]
Reward: 39   	chromosome: [174, 174, 161]
Reward: 37   	chromosome: [174, 174, 161]
Reward: 24   	chromosome: [170, 161, 174, 161]
Reward: 11   	chromosome: [174, 161, 174, 174]
Reward: 11   	chromosome: [174, 161, 174, 174]
Reward: 11   	chromosome: [174, 174]
Reward: 10   	chromosome: [174, 174, 174]
Reward: 10   	chromosome: [174, 174]
Reward: 10   	chromosome: [174, 174, 161, 174]
Reward: 10   	chromosome: [174, 174, 161, 174]
Reward: 10   	chromosome: [174, 128, 161, 174, 174]
Reward: 10   	chromosome: [174, 174, 5, 9, 5]
Reward: 9   	chromosome: [174, 174, 174]
Reward: 9   	chromosome: [174, 161, 174, 174]
Reward: 9   	chromosome: [174, 169]
Reward: 9   	chromosome: [174, 161, 174, 174]
Reward: 9   	chromosome: [174, 5, 174]
Reward: 9   	chromosome: [174, 5, 174]
Reward: 9   	chromosome: [174, 174, 161, 174]
Reward: 9   	chromosome: [174, 161, 174, 5, 13]
Reward: 8   	chromosome: [174, 161, 174, 174]
Reward: 8   	chromosome: [174, 174, 161, 174]
