Generation: 37	Total Reward: 5646.0
Reward: 189   	chromosome: [161, 174, 191, 105]
Reward: 166   	chromosome: [174, 5]
Reward: 165   	chromosome: [174, 5]
Reward: 161   	chromosome: [174, 161, 174]
Reward: 160   	chromosome: [174, 161, 174]
Reward: 157   	chromosome: [174, 161, 174]
Reward: 152   	chromosome: [173, 161, 174, 191, 105]
Reward: 150   	chromosome: [173, 161, 174, 191, 105]
Reward: 144   	chromosome: [174, 174, 161]
Reward: 136   	chromosome: [174, 5]
Reward: 134   	chromosome: [89, 173, 129, 129]
Reward: 133   	chromosome: [174, 161, 174]
Reward: 133   	chromosome: [174, 5]
Reward: 131   	chromosome: [174, 161, 174, 49]
Reward: 128   	chromosome: [174, 161, 174]
Reward: 127   	chromosome: [174, 5]
Reward: 125   	chromosome: [174, 161, 174]
Reward: 125   	chromosome: [174, 161, 174]
Reward: 122   	chromosome: [174, 5]
Reward: 121   	chromosome: [174, 5]
Reward: 119   	chromosome: [174, 161, 174]
Reward: 118   	chromosome: [174, 161, 174, 161]
Reward: 115   	chromosome: [161, 154, 173, 129]
Reward: 114   	chromosome: [174, 5]
Reward: 109   	chromosome: [5, 108, 154]
Reward: 99   	chromosome: [161, 174, 191, 105]
Reward: 97   	chromosome: [154, 173, 129, 117, 162]
Reward: 91   	chromosome: [174, 5]
Reward: 90   	chromosome: [170, 174, 161]
Reward: 84   	chromosome: [154, 141, 212]
Reward: 81   	chromosome: [161, 133, 60]
Reward: 73   	chromosome: [161, 174, 191, 105]
Reward: 63   	chromosome: [161, 133, 60]
Reward: 60   	chromosome: [174, 173, 161, 174]
Reward: 55   	chromosome: [5, 108]
Reward: 53   	chromosome: [174, 174, 161]
Reward: 52   	chromosome: [5, 108]
Reward: 51   	chromosome: [89, 173, 129, 117]
Reward: 49   	chromosome: [161, 91, 161]
Reward: 46   	chromosome: [5, 108, 154]
Reward: 44   	chromosome: [5, 108]
Reward: 44   	chromosome: [254, 134, 133, 60]
Reward: 38   	chromosome: [5, 108, 154]
Reward: 38   	chromosome: [173, 129, 117, 162]
Reward: 38   	chromosome: [161, 91]
Reward: 37   	chromosome: [89, 173, 129, 129]
Reward: 35   	chromosome: [174, 174, 161]
Reward: 34   	chromosome: [173, 129, 117, 162]
Reward: 33   	chromosome: [5, 108]
Reward: 32   	chromosome: [5, 108]
Reward: 31   	chromosome: [174, 161, 161]
Reward: 30   	chromosome: [5, 108]
Reward: 30   	chromosome: [5, 108]
Reward: 30   	chromosome: [5, 108]
Reward: 30   	chromosome: [161, 174]
Reward: 29   	chromosome: [161, 225, 154, 141]
Reward: 28   	chromosome: [5, 108]
Reward: 27   	chromosome: [174, 154, 173, 129, 117]
Reward: 26   	chromosome: [161, 91]
Reward: 25   	chromosome: [154, 137, 212, 229]
Reward: 25   	chromosome: [174, 161, 161, 225]
Reward: 24   	chromosome: [174, 161, 161]
Reward: 22   	chromosome: [5, 108]
Reward: 21   	chromosome: [161, 133, 60]
Reward: 20   	chromosome: [161, 91]
Reward: 20   	chromosome: [254, 134, 133, 60]
Reward: 20   	chromosome: [161, 5, 133]
Reward: 19   	chromosome: [254, 134, 133, 60]
Reward: 19   	chromosome: [254, 134, 133, 60]
Reward: 19   	chromosome: [154, 141, 161, 174]
Reward: 16   	chromosome: [161, 91]
Reward: 16   	chromosome: [161, 161, 225]
Reward: 12   	chromosome: [161, 161, 225]
Reward: 12   	chromosome: [161, 91]
Reward: 12   	chromosome: [254, 134]
Reward: 11   	chromosome: [5, 174, 174]
Reward: 11   	chromosome: [161, 91, 174]
Reward: 10   	chromosome: [161, 133, 5]
Reward: 10   	chromosome: [174, 174]
Reward: 10   	chromosome: [174, 220, 161, 89]
Reward: 10   	chromosome: [174, 11]
Reward: 10   	chromosome: [5, 174]
Reward: 10   	chromosome: [161, 161, 225, 154]
Reward: 10   	chromosome: [5, 174]
Reward: 9   	chromosome: [174, 161, 133, 60]
Reward: 9   	chromosome: [5, 5]
Reward: 9   	chromosome: [174, 173, 129, 112]
Reward: 9   	chromosome: [233, 174, 174, 173]
Reward: 9   	chromosome: [174, 161, 174, 49, 173]
Reward: 9   	chromosome: [174, 161, 254]
Reward: 9   	chromosome: [5, 108, 174]
Reward: 9   	chromosome: [174, 161, 174, 154, 173]
Reward: 9   	chromosome: [174, 89, 173, 129]
Reward: 9   	chromosome: [5, 108, 161, 174]
Reward: 9   	chromosome: [154, 174, 174]
Reward: 9   	chromosome: [161, 161, 174, 191]
Reward: 8   	chromosome: [174, 161, 174, 161]
Reward: 8   	chromosome: [161, 174, 191]
Reward: 8   	chromosome: [174, 5, 254, 134]
Reward: 8   	chromosome: [5, 254, 134, 133]
