Generation: 25	Total Reward: 3004.0
Reward: 163   	chromosome: [161, 174, 191, 105]
Reward: 159   	chromosome: [161, 174, 191, 105]
Reward: 155   	chromosome: [161, 174, 191, 105]
Reward: 127   	chromosome: [174, 161, 174]
Reward: 116   	chromosome: [174, 5]
Reward: 116   	chromosome: [161, 161, 174]
Reward: 73   	chromosome: [173, 129, 117, 162]
Reward: 72   	chromosome: [173, 22, 173, 89, 22, 41]
Reward: 67   	chromosome: [254, 134]
Reward: 55   	chromosome: [154, 141, 212]
Reward: 55   	chromosome: [254, 134, 133, 60]
Reward: 52   	chromosome: [174, 105, 174, 133]
Reward: 49   	chromosome: [173, 129, 117, 162]
Reward: 49   	chromosome: [254, 134]
Reward: 47   	chromosome: [254, 134]
Reward: 47   	chromosome: [161, 225]
Reward: 45   	chromosome: [254, 134]
Reward: 44   	chromosome: [174, 133, 60, 229]
Reward: 41   	chromosome: [254, 176, 5, 108]
Reward: 41   	chromosome: [254, 134]
Reward: 40   	chromosome: [174, 161, 22, 41, 225]
Reward: 39   	chromosome: [5, 89, 173, 89]
Reward: 38   	chromosome: [5, 108]
Reward: 37   	chromosome: [173, 161, 174, 191, 105]
Reward: 34   	chromosome: [161, 91]
Reward: 34   	chromosome: [174, 105]
Reward: 33   	chromosome: [79, 229, 108]
Reward: 33   	chromosome: [174, 133, 60, 229]
Reward: 33   	chromosome: [174, 176, 5, 108]
Reward: 32   	chromosome: [5, 108]
Reward: 32   	chromosome: [161, 174, 161, 174]
Reward: 31   	chromosome: [254, 134, 133, 60]
Reward: 30   	chromosome: [167, 176, 88, 88, 161]
Reward: 30   	chromosome: [89, 212]
Reward: 27   	chromosome: [254, 134]
Reward: 26   	chromosome: [5, 108]
Reward: 23   	chromosome: [254, 134]
Reward: 23   	chromosome: [173, 22, 41, 225, 165]
Reward: 23   	chromosome: [89, 225, 154]
Reward: 23   	chromosome: [133, 60, 229, 95]
Reward: 23   	chromosome: [161, 225]
Reward: 23   	chromosome: [5, 108]
Reward: 22   	chromosome: [5, 108]
Reward: 22   	chromosome: [88, 88, 100, 41]
Reward: 22   	chromosome: [254, 134]
Reward: 21   	chromosome: [161, 79, 164]
Reward: 21   	chromosome: [229, 108, 149, 106, 89]
Reward: 20   	chromosome: [161, 79, 164]
Reward: 20   	chromosome: [161, 91]
Reward: 20   	chromosome: [133, 60, 229, 95]
Reward: 20   	chromosome: [254, 134]
Reward: 19   	chromosome: [22, 41, 228, 174, 88]
Reward: 18   	chromosome: [229, 108, 149]
Reward: 18   	chromosome: [254, 134, 133, 60]
Reward: 18   	chromosome: [229, 108, 149]
Reward: 18   	chromosome: [5, 108, 133, 60]
Reward: 17   	chromosome: [89, 161, 174]
Reward: 16   	chromosome: [89, 212]
Reward: 16   	chromosome: [161, 91]
Reward: 16   	chromosome: [174, 176, 5, 108]
Reward: 16   	chromosome: [89, 225, 154, 173]
Reward: 15   	chromosome: [89, 212]
Reward: 14   	chromosome: [161, 141, 154, 102, 161]
Reward: 13   	chromosome: [161, 174, 105]
Reward: 13   	chromosome: [254, 134]
Reward: 12   	chromosome: [173, 89, 22, 41, 19]
Reward: 12   	chromosome: [254, 134]
Reward: 12   	chromosome: [161, 229, 108, 149, 106]
Reward: 12   	chromosome: [254, 134]
Reward: 11   	chromosome: [173, 129, 18, 17]
Reward: 11   	chromosome: [254, 134]
Reward: 11   	chromosome: [174, 176, 5, 108]
Reward: 11   	chromosome: [174, 176, 5, 88, 174]
Reward: 11   	chromosome: [254, 161, 79]
Reward: 11   	chromosome: [161, 79, 22, 42]
Reward: 10   	chromosome: [79, 104, 60, 229, 95]
Reward: 10   	chromosome: [161, 161]
Reward: 10   	chromosome: [254, 134]
Reward: 10   	chromosome: [102, 161, 174, 191, 105]
Reward: 10   	chromosome: [254, 134]
Reward: 10   	chromosome: [88, 88, 100, 41, 102]
Reward: 10   	chromosome: [161, 173, 129]
Reward: 10   	chromosome: [222, 161, 173, 161]
Reward: 10   	chromosome: [254, 134, 174]
Reward: 10   	chromosome: [79, 104, 133, 229, 108, 149]
Reward: 10   	chromosome: [161, 141, 154, 102, 173, 22]
Reward: 10   	chromosome: [254, 134, 161, 229]
Reward: 10   	chromosome: [161, 161, 254, 176]
Reward: 10   	chromosome: [174, 254]
Reward: 10   	chromosome: [5, 108, 173, 129]
Reward: 9   	chromosome: [174, 254]
Reward: 9   	chromosome: [173, 129, 89, 173, 89]
Reward: 9   	chromosome: [254, 161]
Reward: 9   	chromosome: [154, 141, 174]
Reward: 9   	chromosome: [5, 161]
Reward: 8   	chromosome: [133, 229, 108, 149, 106]
Reward: 8   	chromosome: [89, 173, 89, 11, 22]
Reward: 8   	chromosome: [161, 161, 174]
Reward: 8   	chromosome: [254, 254, 176, 5]
Reward: 8   	chromosome: [79, 229, 254]
