Generation: 33	Total Reward: 5305.0
Reward: 500   	chromosome: [161, 133, 60]
Reward: 245   	chromosome: [161, 161]
Reward: 213   	chromosome: [174, 161, 174]
Reward: 166   	chromosome: [5, 108, 154]
Reward: 164   	chromosome: [174, 161, 174]
Reward: 162   	chromosome: [161, 174, 191, 105]
Reward: 150   	chromosome: [174, 161, 174]
Reward: 143   	chromosome: [174, 161, 174]
Reward: 138   	chromosome: [174, 161, 174]
Reward: 138   	chromosome: [174, 5]
Reward: 135   	chromosome: [161, 174, 191, 105]
Reward: 135   	chromosome: [174, 161, 174]
Reward: 128   	chromosome: [174, 5]
Reward: 122   	chromosome: [174, 5]
Reward: 121   	chromosome: [174, 161, 174]
Reward: 112   	chromosome: [161, 154, 173, 129]
Reward: 105   	chromosome: [174, 5]
Reward: 88   	chromosome: [174, 5]
Reward: 86   	chromosome: [154, 141, 212]
Reward: 83   	chromosome: [161, 91]
Reward: 83   	chromosome: [173, 161, 174, 191, 105]
Reward: 80   	chromosome: [174, 161, 161]
Reward: 74   	chromosome: [161, 174, 191, 105]
Reward: 70   	chromosome: [161, 79, 164]
Reward: 61   	chromosome: [173, 129, 117, 162]
Reward: 57   	chromosome: [254, 134, 133, 60]
Reward: 56   	chromosome: [174, 174, 161]
Reward: 55   	chromosome: [254, 134]
Reward: 50   	chromosome: [174, 105]
Reward: 49   	chromosome: [174, 174, 161]
Reward: 47   	chromosome: [254, 134]
Reward: 47   	chromosome: [174, 154, 173, 129, 117]
Reward: 46   	chromosome: [5, 108]
Reward: 45   	chromosome: [174, 105]
Reward: 43   	chromosome: [254, 134, 133, 60]
Reward: 41   	chromosome: [89, 173, 129, 129]
Reward: 40   	chromosome: [161, 225, 154, 141]
Reward: 40   	chromosome: [161, 91]
Reward: 39   	chromosome: [161, 91]
Reward: 37   	chromosome: [161, 88, 88, 173, 22, 35]
Reward: 36   	chromosome: [161, 91]
Reward: 35   	chromosome: [174, 105]
Reward: 34   	chromosome: [5, 108]
Reward: 34   	chromosome: [254, 134]
Reward: 33   	chromosome: [254, 7]
Reward: 32   	chromosome: [88, 88, 173, 22, 41]
Reward: 32   	chromosome: [161, 161, 225, 154, 141]
Reward: 30   	chromosome: [154, 141, 161, 174]
Reward: 29   	chromosome: [133, 60, 229, 95]
Reward: 28   	chromosome: [5, 108]
Reward: 28   	chromosome: [161, 91]
Reward: 27   	chromosome: [5, 108]
Reward: 27   	chromosome: [5, 108]
Reward: 27   	chromosome: [5, 108]
Reward: 26   	chromosome: [161, 133, 60]
Reward: 26   	chromosome: [5, 108]
Reward: 26   	chromosome: [161, 161]
Reward: 24   	chromosome: [5, 108]
Reward: 23   	chromosome: [254, 134, 133, 60]
Reward: 23   	chromosome: [174, 229, 108, 149]
Reward: 23   	chromosome: [89, 173, 129, 117]
Reward: 23   	chromosome: [154, 137, 212, 229]
Reward: 22   	chromosome: [154, 173, 129, 117, 162]
Reward: 21   	chromosome: [5, 108]
Reward: 21   	chromosome: [173, 129, 117, 162]
Reward: 21   	chromosome: [254, 134, 133, 60]
Reward: 19   	chromosome: [254, 134]
Reward: 19   	chromosome: [254, 134]
Reward: 19   	chromosome: [161, 79, 164, 229, 108]
Reward: 18   	chromosome: [254, 134]
Reward: 16   	chromosome: [161, 225]
Reward: 16   	chromosome: [173, 22, 41, 225, 165]
Reward: 16   	chromosome: [5, 133]
Reward: 14   	chromosome: [254, 134]
Reward: 14   	chromosome: [254, 134]
Reward: 13   	chromosome: [88, 88, 100, 41]
Reward: 13   	chromosome: [5, 133]
Reward: 13   	chromosome: [161, 161, 173, 22, 41]
Reward: 11   	chromosome: [161, 173, 22, 41, 225, 165]
Reward: 11   	chromosome: [5, 108, 229, 108]
Reward: 11   	chromosome: [174, 174]
Reward: 10   	chromosome: [174, 161, 161]
Reward: 10   	chromosome: [174, 105]
Reward: 10   	chromosome: [174, 133, 60, 229]
Reward: 10   	chromosome: [5, 108, 161, 161]
Reward: 10   	chromosome: [174, 105, 154]
Reward: 10   	chromosome: [161, 225, 154, 141, 173]
Reward: 10   	chromosome: [161, 174, 154, 173]
Reward: 10   	chromosome: [254, 254, 134, 133]
Reward: 10   	chromosome: [174, 173, 129, 117, 162]
Reward: 9   	chromosome: [5, 174]
Reward: 9   	chromosome: [88, 88, 100, 41, 88]
Reward: 9   	chromosome: [161, 225, 173, 161]
Reward: 9   	chromosome: [254, 134, 174]
Reward: 9   	chromosome: [5, 108, 161, 79]
Reward: 9   	chromosome: [254, 89, 173]
Reward: 9   	chromosome: [254, 161, 92, 88, 173]
Reward: 8   	chromosome: [5, 5, 108, 229]
Reward: 8   	chromosome: [5, 108, 173]
Reward: 8   	chromosome: [174, 167]
