Generation: 61	Total Reward: 11985.0
Reward: 270   	chromosome: [174, 5, 5]
Reward: 257   	chromosome: [174, 161, 174]
Reward: 256   	chromosome: [174, 5, 5]
Reward: 233   	chromosome: [174, 5, 5, 174]
Reward: 220   	chromosome: [174, 5, 5]
Reward: 193   	chromosome: [174, 174, 161]
Reward: 191   	chromosome: [174, 161, 174]
Reward: 189   	chromosome: [174, 174, 161]
Reward: 186   	chromosome: [174, 174, 169]
Reward: 184   	chromosome: [174, 161, 174]
Reward: 183   	chromosome: [174, 161, 174]
Reward: 182   	chromosome: [174, 161, 174]
Reward: 178   	chromosome: [174, 161, 174]
Reward: 173   	chromosome: [174, 174, 165]
Reward: 171   	chromosome: [174, 161, 174]
Reward: 170   	chromosome: [174, 161, 174]
Reward: 168   	chromosome: [174, 174, 169]
Reward: 167   	chromosome: [174, 5]
Reward: 164   	chromosome: [174, 5]
Reward: 161   	chromosome: [174, 161, 174]
Reward: 158   	chromosome: [173, 174, 161]
Reward: 158   	chromosome: [174, 161, 174]
Reward: 158   	chromosome: [174, 161, 174]
Reward: 157   	chromosome: [174, 161, 174]
Reward: 157   	chromosome: [174, 161, 174]
Reward: 157   	chromosome: [174, 174, 161]
Reward: 156   	chromosome: [174, 161, 174]
Reward: 156   	chromosome: [174, 161, 174]
Reward: 156   	chromosome: [174, 161, 174]
Reward: 154   	chromosome: [174, 161, 174]
Reward: 152   	chromosome: [174, 5]
Reward: 150   	chromosome: [174, 161, 174]
Reward: 150   	chromosome: [174, 161, 174]
Reward: 149   	chromosome: [174, 161, 174]
Reward: 147   	chromosome: [174, 161, 174]
Reward: 146   	chromosome: [174, 174, 161]
Reward: 143   	chromosome: [174, 161, 174]
Reward: 140   	chromosome: [174, 5]
Reward: 139   	chromosome: [174, 161, 174]
Reward: 139   	chromosome: [174, 161, 174]
Reward: 138   	chromosome: [174, 5, 220, 5, 174]
Reward: 138   	chromosome: [174, 161, 174]
Reward: 138   	chromosome: [174, 161, 174]
Reward: 137   	chromosome: [174, 161, 174]
Reward: 137   	chromosome: [174, 174, 165]
Reward: 136   	chromosome: [174, 5, 5]
Reward: 135   	chromosome: [174, 161, 174]
Reward: 134   	chromosome: [174, 161, 174]
Reward: 134   	chromosome: [174, 161, 174]
Reward: 132   	chromosome: [174, 161, 174]
Reward: 131   	chromosome: [174, 5]
Reward: 130   	chromosome: [174, 174, 165]
Reward: 129   	chromosome: [174, 161, 174]
Reward: 128   	chromosome: [174, 161, 174]
Reward: 127   	chromosome: [174, 5]
Reward: 127   	chromosome: [174, 161, 174]
Reward: 126   	chromosome: [174, 161, 174]
Reward: 126   	chromosome: [174, 161, 174]
Reward: 125   	chromosome: [174, 161, 174]
Reward: 125   	chromosome: [174, 5]
Reward: 124   	chromosome: [174, 161, 174]
Reward: 124   	chromosome: [174, 161, 174]
Reward: 124   	chromosome: [174, 161, 174]
Reward: 123   	chromosome: [174, 161, 174]
Reward: 123   	chromosome: [174, 161, 174]
Reward: 122   	chromosome: [174, 161, 174]
Reward: 121   	chromosome: [174, 161, 174]
Reward: 121   	chromosome: [174, 5]
Reward: 120   	chromosome: [174, 161, 174]
Reward: 120   	chromosome: [174, 161, 174]
Reward: 120   	chromosome: [174, 161, 174]
Reward: 118   	chromosome: [174, 5]
Reward: 118   	chromosome: [174, 161, 174]
Reward: 114   	chromosome: [174, 161, 174]
Reward: 113   	chromosome: [174, 161, 174]
Reward: 112   	chromosome: [174, 5]
Reward: 91   	chromosome: [169, 174, 161, 174]
Reward: 63   	chromosome: [174, 174, 161]
Reward: 60   	chromosome: [174, 174, 161]
Reward: 42   	chromosome: [174, 161, 174, 161]
Reward: 39   	chromosome: [175, 174, 174, 161]
Reward: 38   	chromosome: [174, 174, 161]
Reward: 28   	chromosome: [174, 174, 161]
Reward: 10   	chromosome: [174, 161, 174, 174]
Reward: 10   	chromosome: [174, 161, 174, 174]
Reward: 10   	chromosome: [174, 174, 174, 169]
Reward: 10   	chromosome: [174, 174]
Reward: 10   	chromosome: [249, 174, 5, 174]
Reward: 10   	chromosome: [174, 161, 174, 174]
Reward: 10   	chromosome: [174, 5, 174]
Reward: 9   	chromosome: [174, 5, 174]
Reward: 9   	chromosome: [174, 174, 174, 161]
Reward: 9   	chromosome: [174, 174]
Reward: 9   	chromosome: [174, 161, 174, 173]
Reward: 9   	chromosome: [174, 174, 161, 174]
Reward: 9   	chromosome: [174, 5, 174]
Reward: 8   	chromosome: [174, 174, 5, 220]
Reward: 8   	chromosome: [174, 161, 174, 174]
Reward: 8   	chromosome: [174, 174, 174]
Reward: 8   	chromosome: [174, 174, 174, 161]
