Generation: 48	Total Reward: 8561.0
Reward: 302   	chromosome: [249, 81]                     [0.17, 0.3475, 0.0525, 0.3585]
Reward: 280   	chromosome: [132, 81]                     [0.17, 0.284, 0.01, 0.3585]
Reward: 273   	chromosome: [249, 81]                     [0.17, 0.3475, 0.004, 0.65525]
Reward: 267   	chromosome: [202, 121]                    [0.165, 0.284, 0.0955, 0.65825]
Reward: 249   	chromosome: [249, 81]                     [0.0285, 0.3475, 0.0905, 0.7175]
Reward: 248   	chromosome: [202, 121]                    [0.3165, 0.3475, 0.0955, 0.7175]
Reward: 241   	chromosome: [249, 81]                     [0.17, 0.284, 0.0955, 0.7175]
Reward: 226   	chromosome: [132, 81]                     [0.119, 0.3475, 0.004, 0.65825]
Reward: 225   	chromosome: [132, 81]                     [0.119, 0.3475, 0.0955, 0.65825]
Reward: 224   	chromosome: [132, 81]                     [0.3585, 0.3475, 0.004, 0.65825]
Reward: 224   	chromosome: [202, 121]                    [0.119, 0.3475, 0.0955, 0.65825]
Reward: 222   	chromosome: [249, 81]                     [0.3165, 0.3475, 0.004, 0.7175]
Reward: 219   	chromosome: [132, 81]                     [0.0285, 0.3475, 0.004, 0.7175]
Reward: 216   	chromosome: [132, 81]                     [0.119, 0.3475, 0.0375, 0.7175]
Reward: 216   	chromosome: [249, 81]                     [0.3165, 0.3475, 0.0955, 0.65825]
Reward: 216   	chromosome: [132, 81]                     [0.3165, 0.284, 0.0955, 0.7175]
Reward: 211   	chromosome: [202, 121]                    [0.3165, 0.3475, 0.0955, 0.7175]
Reward: 208   	chromosome: [202, 121]                    [0.3165, 0.3475, 0.0955, 0.65825]
Reward: 207   	chromosome: [132, 81]                     [0.119, 0.284, 0.0955, 0.65825]
Reward: 207   	chromosome: [202, 121]                    [0.0285, 0.3475, 0.0955, 0.7175]
Reward: 203   	chromosome: [132, 81]                     [0.3165, 0.3475, 0.0955, 0.65825]
Reward: 202   	chromosome: [132, 81]                     [0.3165, 0.3475, 0.0905, 0.65825]
Reward: 200   	chromosome: [132, 81]                     [0.119, 0.284, 0.0955, 0.65825]
Reward: 188   	chromosome: [202, 121]                    [0.17, 0.3475, 0.0955, 0.65825]
Reward: 181   	chromosome: [132, 81]                     [0.17, 0.284, 0.004, 0.7175]
Reward: 176   	chromosome: [249, 81]                     [0.3585, 0.3475, 0.0955, 0.65825]
Reward: 176   	chromosome: [249, 81]                     [0.17, 0.3475, 0.004, 0.7175]
Reward: 168   	chromosome: [132, 81]                     [0.3165, 0.3475, 0.0905, 0.6405]
Reward: 166   	chromosome: [249, 81]                     [0.119, 0.3475, 0.0955, 0.315]
Reward: 163   	chromosome: [132, 81]                     [0.3025, 0.3475, 0.0955, 0.65825]
Reward: 159   	chromosome: [132, 81]                     [0.3025, 0.3475, 0.045, 0.7175]
Reward: 155   	chromosome: [202, 121]                    [0.17, 0.3475, 0.0955, 0.65525]
Reward: 149   	chromosome: [132, 81]                     [0.0285, 0.284, 0.0955, 0.65825]
Reward: 148   	chromosome: [132, 81]                     [0.0285, 0.3475, 0.0905, 0.65825]
Reward: 144   	chromosome: [132, 81]                     [0.2715, 0.3475, 0.1145, 0.65825]
Reward: 143   	chromosome: [132, 81]                     [0.3165, 0.3475, 0.0955, 0.7175]
Reward: 142   	chromosome: [249, 81]                     [0.0285, 0.3475, 0.0955, 0.7175]
Reward: 140   	chromosome: [249, 81]                     [0.3165, 0.284, 0.0955, 0.65825]
Reward: 139   	chromosome: [249, 81]                     [0.17, 0.3475, 0.0525, 0.3585]
Reward: 125   	chromosome: [249, 81]                     [0.119, 0.284, 0.0955, 0.315]
Reward: 18   	chromosome: [81, 249]                     [0.119, 0.3475, 0.0955, 0.315]
Reward: 18   	chromosome: [130, 92, 173]                [0.158, 0.501, 0.096, 0.3305]
Reward: 17   	chromosome: [177, 226, 170, 218]          [0.0785, 0.1865, 0.033, 0.13825]
Reward: 17   	chromosome: [81, 249]                     [0.3165, 0.3475, 0.0905, 0.3585]
Reward: 17   	chromosome: [81, 132]                     [0.165, 0.284, 0.0955, 0.65825]
Reward: 16   	chromosome: [81, 132]                     [0.3585, 0.284, 0.001, 0.7175]
Reward: 12   	chromosome: [73, 43]                      [0.216, 0.6875, 0.0375, 0.0785]
Reward: 11   	chromosome: [65, 81, 249]                 [0.165, 0.3475, 0.0905, 0.7175]
Reward: 11   	chromosome: [10, 0, 101, 206]             [0.163, 0.267, 0.09, 0.6205]
Reward: 11   	chromosome: [148, 145]                    [0.024, 0.4935, 0.0855, 0.22925]
Reward: 11   	chromosome: [121, 132]                    [0.119, 0.3475, 0.0955, 0.65825]
Reward: 10   	chromosome: [132, 132]                    [0.17, 0.284, 0.0955, 0.7175]
Reward: 10   	chromosome: [239, 202, 121]               [0.3025, 0.3475, 0.0905, 0.6405]
Reward: 10   	chromosome: [11, 103, 115]                [0.1575, 0.5435, 0.007, 0.1605]
Reward: 10   	chromosome: [252, 74, 195, 196]           [0.219, 0.641, 0.101, 0.72875]
Reward: 10   	chromosome: [77, 182, 186, 38, 74]        [0.0435, 0.1565, 0.105, 0.556]
Reward: 10   	chromosome: [52, 116, 53, 40, 129]        [0.243, 0.734, 0.0075, 0.089]
Reward: 10   	chromosome: [81, 81]                      [0.3165, 0.3475, 0.0955, 0.65825]
Reward: 10   	chromosome: [186, 202, 161, 136, 39]      [0.3195, 0.414, 0.01, 0.56225]
Reward: 10   	chromosome: [136, 234, 36, 199]           [0.0395, 0.4295, 0.058, 0.7005]
Reward: 10   	chromosome: [3, 204]                      [0.1945, 0.3575, 0.004, 0.143]
Reward: 10   	chromosome: [219, 6, 144, 167]            [0.262, 0.174, 0.076, 0.4625]
Reward: 10   	chromosome: [181, 183, 66, 221, 210]      [0.261, 0.129, 0.066, 0.147]
Reward: 10   	chromosome: [81, 202]                     [0.3165, 0.3565, 0.0955, 0.65825]
Reward: 10   	chromosome: [81, 81]                      [0.119, 0.3475, 0.0905, 0.315]
Reward: 10   	chromosome: [202, 81]                     [0.0285, 0.3475, 0.0905, 0.65825]
Reward: 10   	chromosome: [132, 121]                    [0.119, 0.3475, 0.0905, 0.6405]
Reward: 10   	chromosome: [6, 70, 226, 159]             [0.3785, 0.4765, 0.029, 0.4365]
Reward: 10   	chromosome: [81, 81]                      [0.3165, 0.3475, 0.004, 0.7175]
Reward: 10   	chromosome: [150, 27, 171]                [0.245, 0.968, 0.1115, 0.04525]
Reward: 10   	chromosome: [64, 67, 245, 224]            [0.03, 0.7985, 0.0835, 0.26475]
Reward: 10   	chromosome: [202, 132]                    [0.3165, 0.3475, 0.0955, 0.7175]
Reward: 10   	chromosome: [121, 81]                     [0.3025, 0.3475, 0.0955, 0.65825]
Reward: 10   	chromosome: [132, 81, 249]                [0.3025, 0.3475, 0.0905, 0.65825]
Reward: 9   	chromosome: [202, 81]                     [0.3025, 0.3475, 0.0955, 0.7175]
Reward: 9   	chromosome: [81, 202]                     [0.119, 0.3475, 0.0905, 0.65825]
Reward: 9   	chromosome: [3, 31, 70, 11, 113]          [0.1715, 0.0005, 0.0585, 0.6745]
Reward: 9   	chromosome: [29, 193]                     [0.1945, 0.719, 0.0015, 0.00775]
Reward: 9   	chromosome: [202, 249]                    [0.3165, 0.284, 0.0905, 0.6405]
Reward: 9   	chromosome: [132, 27]                     [0.119, 0.8885, 0.104, 0.7175]
Reward: 9   	chromosome: [249, 81]                     [0.131, 0.284, 0.0375, 0.15075]
Reward: 9   	chromosome: [14, 82, 174, 21, 211]        [0.144, 0.6985, 0.1155, 0.60375]
Reward: 9   	chromosome: [242, 66, 233, 229]           [0.281, 0.325, 0.0845, 0.625]
Reward: 9   	chromosome: [128, 132, 121]               [0.17, 0.284, 0.001, 0.7175]
Reward: 9   	chromosome: [34, 147, 11, 97]             [0.38, 0.49, 0.1135, 0.169]
Reward: 9   	chromosome: [249, 132]                    [0.119, 0.3475, 0.004, 0.65825]
Reward: 9   	chromosome: [121, 132]                    [0.119, 0.3475, 0.0905, 0.6405]
Reward: 9   	chromosome: [81, 202]                     [0.0285, 0.3475, 0.0905, 0.65825]
Reward: 9   	chromosome: [49, 72, 237, 118, 225]       [0.157, 0.9495, 0.1025, 0.6045]
Reward: 9   	chromosome: [81, 202, 121]                [0.3165, 0.3475, 0.0905, 0.7175]
Reward: 8   	chromosome: [157, 133]                    [0.063, 0.729, 0.0755, 0.03325]
Reward: 8   	chromosome: [132, 121]                    [0.17, 0.284, 0.0955, 0.7175]
Reward: 8   	chromosome: [132, 19, 81]                 [0.119, 0.9535, 0.0905, 0.315]
Reward: 8   	chromosome: [100, 111, 37]                [0.0705, 0.66, 0.094, 0.20975]
Reward: 8   	chromosome: [121, 81]                     [0.3025, 0.3475, 0.0955, 0.65825]
Reward: 8   	chromosome: [81, 81]                      [0.1705, 0.3475, 0.0955, 0.65825]
Reward: 8   	chromosome: [81, 117, 135, 93]            [0.151, 0.3475, 0.0905, 0.34175]
Reward: 8   	chromosome: [68, 130, 234]                [0.005, 0.8015, 0.099, 0.02375]
Reward: 8   	chromosome: [132, 249]                    [0.3025, 0.3475, 0.0525, 0.7175]
Reward: 8   	chromosome: [132, 132]                    [0.3025, 0.3475, 0.0955, 0.7175]
