Generation: 39	Total Reward: 7404.0
Reward: 216   	chromosome: [174, 5, 5]
Reward: 191   	chromosome: [174, 174, 161]
Reward: 189   	chromosome: [5, 108, 154]
Reward: 188   	chromosome: [161, 173, 161, 174]
Reward: 163   	chromosome: [5, 108, 154]
Reward: 162   	chromosome: [174, 5]
Reward: 156   	chromosome: [174, 161, 174]
Reward: 152   	chromosome: [174, 5, 5]
Reward: 148   	chromosome: [174, 161, 174]
Reward: 148   	chromosome: [174, 161, 174]
Reward: 147   	chromosome: [173, 161, 174, 191, 105]
Reward: 147   	chromosome: [174, 174, 161]
Reward: 146   	chromosome: [5, 108, 154]
Reward: 135   	chromosome: [174, 161, 174]
Reward: 135   	chromosome: [174, 174, 161]
Reward: 133   	chromosome: [174, 161, 174]
Reward: 132   	chromosome: [174, 161, 174]
Reward: 131   	chromosome: [174, 5]
Reward: 131   	chromosome: [174, 161, 174]
Reward: 127   	chromosome: [174, 5]
Reward: 127   	chromosome: [170, 174, 161]
Reward: 126   	chromosome: [174, 5]
Reward: 126   	chromosome: [161, 174, 191, 105]
Reward: 126   	chromosome: [174, 161, 174]
Reward: 122   	chromosome: [174, 5]
Reward: 121   	chromosome: [174, 161, 174]
Reward: 121   	chromosome: [174, 161, 174]
Reward: 121   	chromosome: [174, 161, 174]
Reward: 120   	chromosome: [174, 5]
Reward: 114   	chromosome: [5, 108, 154]
Reward: 113   	chromosome: [174, 5]
Reward: 112   	chromosome: [154, 141, 212]
Reward: 112   	chromosome: [170, 174, 161]
Reward: 112   	chromosome: [161, 133, 60]
Reward: 109   	chromosome: [174, 173, 161, 174]
Reward: 106   	chromosome: [174, 5]
Reward: 103   	chromosome: [174, 5]
Reward: 100   	chromosome: [174, 5]
Reward: 99   	chromosome: [174, 174, 161]
Reward: 94   	chromosome: [161, 174, 191, 105]
Reward: 93   	chromosome: [174, 5]
Reward: 91   	chromosome: [174, 5]
Reward: 91   	chromosome: [174, 5]
Reward: 90   	chromosome: [170, 174, 161]
Reward: 88   	chromosome: [174, 5]
Reward: 82   	chromosome: [161, 174, 191, 105]
Reward: 81   	chromosome: [154, 141, 212]
Reward: 78   	chromosome: [5, 173, 129, 117]
Reward: 75   	chromosome: [154, 173, 129, 117, 162]
Reward: 62   	chromosome: [254, 134, 133, 60]
Reward: 60   	chromosome: [173, 129, 117, 162]
Reward: 60   	chromosome: [154, 137, 212, 229]
Reward: 51   	chromosome: [174, 174, 161]
Reward: 49   	chromosome: [173, 129, 117, 162]
Reward: 47   	chromosome: [161, 91, 161]
Reward: 45   	chromosome: [161, 174]
Reward: 41   	chromosome: [161, 133, 60]
Reward: 40   	chromosome: [5, 108]
Reward: 39   	chromosome: [174, 161, 161]
Reward: 36   	chromosome: [5, 108]
Reward: 35   	chromosome: [161, 91]
Reward: 33   	chromosome: [174, 174, 161]
Reward: 33   	chromosome: [174, 161, 161, 154]
Reward: 31   	chromosome: [161, 133, 60]
Reward: 30   	chromosome: [5, 108]
Reward: 30   	chromosome: [5, 108]
Reward: 29   	chromosome: [89, 173, 129, 117]
Reward: 29   	chromosome: [173, 161, 174, 191, 105]
Reward: 29   	chromosome: [89, 173, 129, 129]
Reward: 28   	chromosome: [5, 108]
Reward: 28   	chromosome: [5, 108]
Reward: 27   	chromosome: [5, 108, 154]
Reward: 27   	chromosome: [89, 173, 129, 129]
Reward: 27   	chromosome: [5, 108, 173, 161]
Reward: 25   	chromosome: [173, 129, 117, 162]
Reward: 25   	chromosome: [154, 141, 161, 174]
Reward: 25   	chromosome: [5, 108]
Reward: 24   	chromosome: [184, 174, 161]
Reward: 23   	chromosome: [161, 91]
Reward: 15   	chromosome: [5, 108, 173, 129]
Reward: 14   	chromosome: [174, 161, 154, 137]
Reward: 12   	chromosome: [161, 91]
Reward: 10   	chromosome: [174, 5, 161]
Reward: 10   	chromosome: [5, 108, 173, 129]
Reward: 10   	chromosome: [174, 174, 173, 161]
Reward: 10   	chromosome: [5, 170, 174]
Reward: 10   	chromosome: [174, 5, 89]
Reward: 10   	chromosome: [154, 141, 173, 129]
Reward: 9   	chromosome: [161, 154, 173, 129]
Reward: 9   	chromosome: [5, 108, 89]
Reward: 9   	chromosome: [174, 174]
Reward: 9   	chromosome: [174, 154, 141]
Reward: 9   	chromosome: [174, 6, 161]
Reward: 9   	chromosome: [174, 174]
Reward: 9   	chromosome: [174, 174, 174]
Reward: 9   	chromosome: [174, 154, 5]
Reward: 9   	chromosome: [174, 161, 174, 154]
Reward: 8   	chromosome: [161, 91, 254]
Reward: 8   	chromosome: [174, 174, 161, 167, 161]
Reward: 8   	chromosome: [154, 5, 173]
