Generation: 28	Total Reward: 3006.0
Reward: 261   	chromosome: [110, 179, 86, 74, 86]        [0.403, 0.727, 0.089, 0.3135]
Reward: 252   	chromosome: [110, 179, 86, 74, 86]        [0.747, 1.642, 0.089, 0.3135]
Reward: 234   	chromosome: [110, 163, 86, 203, 94]       [0.747, 1.169, 0.089, 0.285]
Reward: 200   	chromosome: [110, 163, 86, 203, 94]       [0.642, 1.264, 0.089, 0.3135]
Reward: 188   	chromosome: [110, 163, 84, 195, 94]       [0.642, 0.727, 0.073, 0.3135]
Reward: 170   	chromosome: [110, 163, 86, 203, 94]       [0.403, 0.727, 0.089, 0.285]
Reward: 155   	chromosome: [110, 163, 86, 203, 94]       [0.642, 1.642, 0.073, 0.3135]
Reward: 105   	chromosome: [110, 163, 86, 203, 94]       [0.642, 1.642, 0.089, 0.3135]
Reward: 91   	chromosome: [110, 163, 86, 203, 94]       [0.642, 1.642, 0.089, 0.3135]
Reward: 82   	chromosome: [110, 163, 86, 203, 94]       [0.403, 1.642, 0.116, 0.3135]
Reward: 68   	chromosome: [110, 163, 86, 203, 94]       [0.642, 1.642, 0.219, 0.206]
Reward: 62   	chromosome: [110, 163, 86, 203, 94]       [0.403, 0.727, 0.089, 0.285]
Reward: 44   	chromosome: [24, 208, 47, 108]            [0.061, 0.149, 0.001, 0.0925]
Reward: 39   	chromosome: [102, 131, 214, 129, 94]      [0.787, 0.291, 0.219, 0.3135]
Reward: 39   	chromosome: [126, 163, 86, 195, 94]       [0.642, 0.727, 0.073, 0.3265]
Reward: 33   	chromosome: [102, 147, 86, 203, 94]       [0.642, 1.642, 0.223, 0.3135]
Reward: 31   	chromosome: [110, 163, 86, 203, 94]       [0.577, 0.727, 0.089, 0.3135]
Reward: 30   	chromosome: [110, 169, 86, 203, 94]       [0.024, 1.642, 0.219, 0.3135]
Reward: 27   	chromosome: [108, 162, 30, 203, 94]       [0.403, 1.642, 0.116, 0.3135]
Reward: 26   	chromosome: [110, 179, 86, 74, 94]        [0.616, 1.642, 0.139, 0.3135]
Reward: 21   	chromosome: [110, 161, 86, 195, 94]       [0.403, 0.727, 0.219, 0.3135]
Reward: 20   	chromosome: [108, 179, 30, 203, 216]      [0.642, 1.642, 0.089, 0.285]
Reward: 19   	chromosome: [110, 179, 86, 203, 94]       [0.642, 1.642, 0.073, 0.3135]
Reward: 18   	chromosome: [110, 163, 86, 74, 86]        [0.747, 1.642, 0.089, 0.3135]
