Generation: 35	Total Reward: 7666.0
Reward: 424   	chromosome: [105, 85, 169]                [0.228, 0.943, 0.03, 2.232]
Reward: 344   	chromosome: [85, 105, 169]                [0.228, 0.943, 0.237, 2.232]
Reward: 343   	chromosome: [226, 85, 169]                [0.489, 0.943, 0.237, 2.747]
Reward: 305   	chromosome: [226, 85, 169]                [0.228, 0.943, 0.143, 2.232]
Reward: 275   	chromosome: [85, 105, 169]                [0.489, 0.943, 0.03, 0.65]
Reward: 256   	chromosome: [226, 85, 169]                [0.489, 0.943, 0.03, 2.747]
Reward: 255   	chromosome: [226, 85, 169]                [0.734, 0.943, 0.03, 2.232]
Reward: 255   	chromosome: [226, 85, 169]                [0.489, 0.943, 0.237, 2.232]
Reward: 251   	chromosome: [105, 85, 169]                [0.489, 0.943, 0.03, 2.232]
Reward: 236   	chromosome: [105, 85, 169]                [0.228, 0.943, 0.03, 2.232]
Reward: 223   	chromosome: [85, 169]                     [0.228, 0.943, 0.186, 2.232]
Reward: 218   	chromosome: [105, 85, 169]                [0.309, 0.943, 0.03, 2.747]
Reward: 216   	chromosome: [169, 169, 226]               [0.489, 0.943, 0.03, 2.618]
Reward: 214   	chromosome: [105, 85, 169]                [0.228, 0.943, 0.03, 2.747]
Reward: 175   	chromosome: [169, 169, 226]               [0.228, 0.943, 0.186, 2.618]
Reward: 175   	chromosome: [169, 169, 226]               [0.489, 0.943, 0.03, 2.618]
Reward: 175   	chromosome: [85, 169, 226]                [0.228, 0.943, 0.092, 0.65]
Reward: 168   	chromosome: [105, 85, 169]                [0.228, 0.943, 0.186, 2.747]
Reward: 163   	chromosome: [226, 105, 71]                [0.62, 0.798, 0.03, 0.691]
Reward: 157   	chromosome: [85, 169]                     [0.489, 0.943, 0.143, 2.232]
Reward: 155   	chromosome: [85, 169]                     [0.489, 0.943, 0.186, 2.232]
Reward: 154   	chromosome: [105, 85, 169]                [0.228, 0.943, 0.092, 2.747]
Reward: 152   	chromosome: [169, 169, 226]               [0.228, 0.943, 0.03, 2.232]
Reward: 151   	chromosome: [105, 85, 169]                [0.228, 0.943, 0.237, 2.618]
Reward: 148   	chromosome: [85, 169]                     [0.489, 0.943, 0.092, 0.65]
Reward: 139   	chromosome: [169, 169, 226]               [0.489, 0.943, 0.03, 2.747]
Reward: 136   	chromosome: [85, 169]                     [0.228, 0.943, 0.092, 2.59]
Reward: 133   	chromosome: [105, 169, 226]               [0.228, 0.943, 0.092, 2.232]
Reward: 126   	chromosome: [105, 85, 169]                [0.228, 0.943, 0.237, 2.232]
Reward: 120   	chromosome: [226, 169, 226]               [0.489, 0.943, 0.03, 2.618]
Reward: 118   	chromosome: [226, 169, 85]                [0.489, 0.943, 0.092, 2.232]
Reward: 112   	chromosome: [226, 105, 85]                [0.489, 0.943, 0.092, 2.747]
Reward: 107   	chromosome: [226, 85, 169]                [0.228, 0.837, 0.186, 0.65]
Reward: 95   	chromosome: [105, 226, 169]               [0.228, 0.943, 0.03, 0.65]
Reward: 83   	chromosome: [105, 169]                    [0.228, 0.943, 0.186, 2.232]
Reward: 69   	chromosome: [226, 169, 105]               [0.228, 0.943, 0.03, 2.747]
Reward: 42   	chromosome: [85, 169, 63]                 [0.563, 0.018, 0.186, 0.65]
Reward: 41   	chromosome: [62, 186, 56]                 [0.228, 0.312, 0.166, 2.755]
Reward: 40   	chromosome: [234, 226, 169, 105]          [0.228, 0.943, 0.03, 2.747]
Reward: 34   	chromosome: [85, 169]                     [0.228, 0.566, 0.092, 0.195]
Reward: 32   	chromosome: [82, 18, 62, 127]             [0.413, 0.91, 0.169, 0.874]
Reward: 29   	chromosome: [169, 226, 85]                [0.228, 0.943, 0.237, 2.747]
Reward: 29   	chromosome: [105, 105, 85]                [0.228, 0.943, 0.03, 2.232]
Reward: 25   	chromosome: [109, 90, 14, 30]             [0.208, 0.512, 0.22, 2.49]
Reward: 19   	chromosome: [85, 169, 226]                [0.228, 0.943, 0.17, 2.747]
Reward: 18   	chromosome: [226, 105, 105]               [0.228, 0.943, 0.03, 2.232]
Reward: 16   	chromosome: [205, 55]                     [0.619, 0.943, 0.026, 2.232]
Reward: 14   	chromosome: [226, 85, 169]                [0.228, 0.943, 0.03, 2.232]
Reward: 13   	chromosome: [85, 105, 105]                [0.489, 0.943, 0.237, 2.232]
Reward: 13   	chromosome: [169, 85, 169]                [0.228, 0.943, 0.03, 2.232]
Reward: 13   	chromosome: [226, 169, 85]                [0.489, 0.943, 0.092, 0.65]
Reward: 11   	chromosome: [105, 85]                     [0.228, 0.943, 0.077, 2.232]
Reward: 11   	chromosome: [146, 169]                    [0.447, 1.794, 0.069, 1.205]
Reward: 10   	chromosome: [148, 238, 35, 67]            [0.363, 0.744, 0.158, 2.134]
Reward: 10   	chromosome: [125, 140]                    [0.587, 1.842, 0.181, 0.554]
