Generation: 8	Total Reward: 3738.0
Reward: 321   	chromosome: [196, 169, 101]               [0.132, 1.135, 0.223, 0.0715]
Reward: 246   	chromosome: [254, 196, 169, 160]          [0.556, 0.241, 0.029, 0.229]
Reward: 233   	chromosome: [254, 196, 169, 160]          [0.797, 0.241, 0.071, 0.256]
Reward: 221   	chromosome: [254, 196, 169, 160]          [0.132, 0.241, 0.183, 0.0585]
Reward: 197   	chromosome: [254, 196, 169, 160]          [0.132, 0.241, 0.029, 0.321]
Reward: 180   	chromosome: [254, 196, 169, 160]          [0.132, 0.908, 0.178, 0.0715]
Reward: 176   	chromosome: [254, 196, 169, 160]          [0.556, 0.241, 0.029, 0.0715]
Reward: 174   	chromosome: [254, 196, 169, 160]          [0.451, 0.241, 0.029, 0.0715]
Reward: 165   	chromosome: [254, 196, 169, 160]          [0.556, 0.241, 0.183, 0.229]
Reward: 152   	chromosome: [254, 196, 169, 160]          [0.132, 0.241, 0.178, 0.0715]
Reward: 127   	chromosome: [254, 196, 169, 160]          [0.132, 0.106, 0.032, 0.229]
Reward: 112   	chromosome: [254, 196, 169, 160]          [0.556, 0.241, 0.029, 0.229]
Reward: 106   	chromosome: [254, 196, 169, 160]          [0.556, 0.241, 0.029, 0.229]
Reward: 102   	chromosome: [254, 196, 169, 160]          [0.132, 0.241, 0.029, 0.229]
Reward: 95   	chromosome: [41, 196, 169, 101]           [0.132, 0.241, 0.183, 0.229]
Reward: 91   	chromosome: [254, 196, 169, 160]          [0.132, 0.241, 0.032, 0.229]
Reward: 91   	chromosome: [254, 196, 169, 160]          [0.132, 0.241, 0.071, 0.229]
Reward: 61   	chromosome: [41, 196, 169, 101]           [0.556, 0.241, 0.183, 0.229]
Reward: 56   	chromosome: [41, 196, 169, 101]           [0.132, 0.241, 0.032, 0.229]
Reward: 32   	chromosome: [41, 196, 169, 101]           [0.556, 0.241, 0.029, 0.229]
Reward: 30   	chromosome: [110, 76, 209, 29, 105]       [0.326, 0.038, 0.036, 0.297]
Reward: 20   	chromosome: [185, 240, 221, 38, 129]      [0.134, 1.619, 0.103, 0.164]
Reward: 19   	chromosome: [206, 102]                    [0.474, 0.444, 0.159, 0.2355]
Reward: 14   	chromosome: [94, 196, 169, 160]           [0.797, 1.865, 0.088, 0.221]
Reward: 12   	chromosome: [254, 13]                     [0.084, 0.241, 0.183, 0.256]
Reward: 12   	chromosome: [41, 196, 169, 101]           [0.132, 1.135, 0.183, 0.229]
Reward: 11   	chromosome: [41, 196, 169, 160]           [0.556, 0.241, 0.029, 0.229]
Reward: 11   	chromosome: [98, 207, 52, 203]            [0.524, 0.816, 0.002, 0.4665]
Reward: 10   	chromosome: [93, 113]                     [0.427, 0.241, 0.043, 0.1465]
Reward: 10   	chromosome: [41, 196, 169, 160, 109]      [0.464, 0.382, 0.059, 0.229]
