Generation: 10	Total Reward: 6974.0
Reward: 288   	chromosome: [121, 118]                    [0.455, 1.027, 0.096, 2.806]
Reward: 266   	chromosome: [153, 118]                    [0.455, 1.027, 0.208, 1.469]
Reward: 255   	chromosome: [121, 118]                    [0.67, 1.764, 0.208, 1.989]
Reward: 253   	chromosome: [121, 118]                    [0.455, 1.764, 0.096, 2.806]
Reward: 243   	chromosome: [153, 153, 118]               [0.67, 1.027, 0.208, 2.235]
Reward: 241   	chromosome: [153, 153, 118]               [0.455, 1.764, 0.208, 2.634]
Reward: 234   	chromosome: [153, 118]                    [0.67, 1.027, 0.208, 0.729]
Reward: 230   	chromosome: [153, 118]                    [0.67, 0.931, 0.208, 2.806]
Reward: 213   	chromosome: [153, 118]                    [0.455, 1.027, 0.208, 1.469]
Reward: 212   	chromosome: [121, 118]                    [0.67, 1.027, 0.208, 1.989]
Reward: 210   	chromosome: [121, 118]                    [0.455, 1.764, 0.096, 2.806]
Reward: 205   	chromosome: [153, 118]                    [0.776, 1.764, 0.096, 2.806]
Reward: 202   	chromosome: [121, 118]                    [0.455, 1.764, 0.096, 2.806]
Reward: 202   	chromosome: [121, 118]                    [0.455, 1.764, 0.208, 2.806]
Reward: 198   	chromosome: [153, 118]                    [0.776, 1.027, 0.096, 2.806]
Reward: 194   	chromosome: [153, 153, 118]               [0.455, 1.764, 0.208, 1.989]
Reward: 189   	chromosome: [153, 118]                    [0.455, 1.764, 0.208, 1.469]
Reward: 184   	chromosome: [153, 118]                    [0.455, 1.764, 0.096, 1.469]
Reward: 180   	chromosome: [121, 118]                    [0.455, 1.764, 0.096, 1.989]
Reward: 174   	chromosome: [153, 118]                    [0.67, 1.027, 0.208, 0.729]
Reward: 167   	chromosome: [153, 118]                    [0.455, 1.027, 0.208, 1.469]
Reward: 164   	chromosome: [153, 153, 118, 75]           [0.67, 1.027, 0.208, 2.235]
Reward: 163   	chromosome: [153, 118]                    [0.776, 1.764, 0.208, 2.806]
Reward: 157   	chromosome: [153, 118]                    [0.455, 1.764, 0.208, 2.806]
Reward: 152   	chromosome: [121, 118]                    [0.776, 1.764, 0.208, 0.729]
Reward: 151   	chromosome: [153, 118]                    [0.67, 1.764, 0.208, 2.235]
