Generation: 10	Total Reward: 6270.0
Reward: 284   	chromosome: [29, 10, 49, 161]             [0.005, 0.811, 0.024, 0.157]
Reward: 261   	chromosome: [206, 162, 164, 246, 1]       [0.776, 0.533, 0.218, 1.344]
Reward: 257   	chromosome: [29, 10, 49, 161]             [0.769, 0.811, 0.024, 0.157]
Reward: 251   	chromosome: [29, 10, 49, 161]             [0.369, 0.811, 0.024, 1.305]
Reward: 233   	chromosome: [92, 238]                     [0.201, 0.625, 0.143, 0.879]
Reward: 212   	chromosome: [29, 10, 49, 161]             [0.005, 1.668, 0.094, 1.915]
Reward: 202   	chromosome: [29, 10, 49, 161]             [0.369, 0.662, 0.102, 1.305]
Reward: 201   	chromosome: [29, 10, 49, 161]             [0.005, 0.811, 0.017, 1.915]
Reward: 200   	chromosome: [29, 10, 49, 161]             [0.769, 1.668, 0.038, 1.766]
Reward: 200   	chromosome: [161, 43, 161]                [0.625, 1.122, 0.12, 1.305]
Reward: 189   	chromosome: [29, 10, 49, 161]             [0.005, 1.122, 0.04, 0.157]
Reward: 171   	chromosome: [29, 10, 49, 161]             [0.005, 1.01, 0.233, 0.595]
Reward: 163   	chromosome: [29, 10, 49, 161]             [0.005, 1.01, 0.105, 1.872]
Reward: 158   	chromosome: [29, 10, 49, 161]             [0.369, 1.01, 0.024, 1.305]
Reward: 156   	chromosome: [161, 100, 166, 122]          [0.625, 1.122, 0.12, 1.915]
Reward: 154   	chromosome: [29, 10, 49, 161]             [0.327, 1.828, 0.024, 1.222]
Reward: 135   	chromosome: [29, 10, 49, 161]             [0.005, 1.828, 0.024, 0.157]
Reward: 132   	chromosome: [29, 10, 49, 161]             [0.005, 1.845, 0.017, 1.915]
Reward: 119   	chromosome: [24, 201, 81]                 [0.405, 1.668, 0.034, 0.747]
Reward: 99   	chromosome: [24, 201, 81]                 [0.227, 1.774, 0.105, 0.595]
Reward: 92   	chromosome: [161, 122, 161]               [0.005, 1.122, 0.024, 0.157]
Reward: 83   	chromosome: [122, 158, 226, 50]           [0.625, 0.811, 0.024, 0.126]
Reward: 77   	chromosome: [11, 10, 49, 161]             [0.005, 0.811, 0.017, 1.915]
Reward: 74   	chromosome: [24, 201, 81]                 [0.227, 1.668, 0.094, 0.747]
Reward: 69   	chromosome: [201, 161]                    [0.005, 1.122, 0.017, 1.872]
Reward: 68   	chromosome: [122, 88, 29]                 [0.005, 1.01, 0.233, 0.595]
Reward: 65   	chromosome: [24, 201, 81]                 [0.227, 1.774, 0.105, 0.747]
Reward: 52   	chromosome: [29, 161, 43]                 [0.625, 1.122, 0.024, 1.305]
Reward: 52   	chromosome: [122, 29, 161]                [0.625, 0.317, 0.102, 0.747]
Reward: 47   	chromosome: [161, 49, 161]                [0.068, 1.122, 0.017, 0.157]
Reward: 47   	chromosome: [122, 11]                     [0.258, 0.811, 0.024, 1.382]
Reward: 44   	chromosome: [29, 161, 200]                [0.005, 1.01, 0.105, 0.595]
Reward: 34   	chromosome: [161, 19, 96, 161]            [0.005, 1.266, 0.024, 1.766]
Reward: 32   	chromosome: [10, 122, 158]                [0.369, 1.122, 0.017, 1.915]
Reward: 31   	chromosome: [173, 11, 182]                [0.769, 0.811, 0.038, 1.766]
Reward: 30   	chromosome: [11, 182]                     [0.068, 0.811, 0.024, 0.157]
Reward: 29   	chromosome: [161, 141, 100, 166]          [0.449, 1.01, 0.233, 0.201]
Reward: 29   	chromosome: [220, 161, 90]                [0.227, 1.01, 0.105, 1.915]
Reward: 22   	chromosome: [226, 14, 169]                [0.144, 0.011, 0.095, 0.727]
Reward: 22   	chromosome: [10, 161, 122, 158]           [0.369, 0.811, 0.024, 2.193]
Reward: 22   	chromosome: [49, 161, 161]                [0.369, 1.01, 0.024, 1.915]
