Generation: 74	Total Reward: 8639.0
Reward: 500   	chromosome: [148, 153, 81, 81]            [0.405, 1.625, 0.024, 0.001]
Reward: 317   	chromosome: [158, 218, 133]               [0.405, 0.811, 0.024, 2.792]
Reward: 305   	chromosome: [10, 10, 201, 81]             [0.405, 1.828, 0.024, 0.001]
Reward: 290   	chromosome: [158, 218, 133]               [0.405, 0.811, 0.024, 2.792]
Reward: 280   	chromosome: [81, 93, 201]                 [0.005, 0.662, 0.024, 0.001]
Reward: 273   	chromosome: [148, 153, 81, 81]            [0.419, 1.625, 0.053, 0.001]
Reward: 272   	chromosome: [107, 10, 10, 161]            [0.775, 1.828, 0.017, 0.926]
Reward: 268   	chromosome: [10, 201, 81]                 [0.775, 0.811, 0.024, 0.001]
Reward: 253   	chromosome: [10, 201, 81]                 [0.126, 0.57, 0.053, 0.001]
Reward: 237   	chromosome: [201, 81, 81]                 [0.293, 0.811, 0.024, 0.001]
Reward: 230   	chromosome: [10, 201, 81]                 [0.405, 1.625, 0.024, 0.001]
Reward: 224   	chromosome: [148, 153, 81, 81]            [0.419, 1.625, 0.024, 0.001]
Reward: 218   	chromosome: [10, 10, 201, 81]             [0.419, 0.811, 0.024, 0.001]
Reward: 214   	chromosome: [148, 153, 81, 81]            [0.419, 0.811, 0.095, 0.001]
Reward: 214   	chromosome: [93, 201, 81]                 [0.005, 1.828, 0.024, 0.001]
Reward: 207   	chromosome: [107, 10, 10, 161]            [0.775, 1.828, 0.017, 0.926]
Reward: 205   	chromosome: [158, 218, 133]               [0.405, 1.625, 0.024, 2.792]
Reward: 203   	chromosome: [201, 81, 81]                 [0.005, 0.558, 0.024, 0.001]
Reward: 203   	chromosome: [10, 201, 81]                 [0.126, 0.57, 0.024, 0.001]
Reward: 199   	chromosome: [158, 218, 133]               [0.775, 0.811, 0.024, 2.792]
Reward: 197   	chromosome: [81, 93, 201]                 [0.005, 0.662, 0.024, 0.001]
Reward: 195   	chromosome: [158, 218, 133]               [0.405, 1.625, 0.024, 0.926]
Reward: 186   	chromosome: [93, 201, 81]                 [0.775, 1.828, 0.024, 0.001]
Reward: 174   	chromosome: [81, 93, 201]                 [0.005, 0.662, 0.024, 0.001]
Reward: 173   	chromosome: [158, 218, 133]               [0.775, 0.811, 0.02, 2.792]
Reward: 170   	chromosome: [10, 201, 81]                 [0.005, 0.662, 0.024, 0.001]
Reward: 164   	chromosome: [158, 133, 81]                [0.775, 0.662, 0.024, 2.4]
Reward: 163   	chromosome: [93, 201, 81]                 [0.005, 1.828, 0.024, 0.001]
Reward: 161   	chromosome: [81, 158]                     [0.714, 0.811, 0.024, 0.001]
Reward: 159   	chromosome: [107, 10, 138, 161]           [0.405, 1.828, 0.017, 2.792]
Reward: 155   	chromosome: [10, 201, 81]                 [0.775, 0.662, 0.024, 0.001]
Reward: 150   	chromosome: [158, 218, 133]               [0.775, 0.811, 0.024, 2.792]
Reward: 145   	chromosome: [10, 201, 81]                 [0.369, 0.811, 0.095, 0.001]
Reward: 143   	chromosome: [81, 158]                     [0.405, 1.828, 0.024, 0.001]
Reward: 137   	chromosome: [81, 158]                     [0.126, 0.662, 0.024, 0.001]
Reward: 124   	chromosome: [158, 158]                    [0.714, 0.811, 0.02, 0.001]
Reward: 113   	chromosome: [158, 133, 81]                [0.005, 0.662, 0.024, 2.4]
Reward: 31   	chromosome: [148, 153, 93]                [0.419, 0.662, 0.024, 0.001]
Reward: 22   	chromosome: [81, 133]                     [0.775, 1.828, 0.024, 0.001]
Reward: 14   	chromosome: [218, 133, 107]               [0.405, 1.828, 0.027, 2.792]
Reward: 13   	chromosome: [107, 10, 81]                 [0.369, 0.811, 0.017, 1.86]
Reward: 11   	chromosome: [201, 81, 133]                [0.775, 0.811, 0.015, 2.792]
Reward: 11   	chromosome: [10, 201, 125, 81]            [0.538, 0.811, 0.195, 0.001]
Reward: 11   	chromosome: [158, 210, 10, 201]           [0.126, 1.687, 0.038, 0.001]
Reward: 11   	chromosome: [158, 218, 10]                [0.775, 0.662, 0.024, 0.001]
Reward: 11   	chromosome: [93, 201, 158]                [0.005, 0.662, 0.024, 0.001]
Reward: 10   	chromosome: [201, 81, 10]                 [0.775, 0.811, 0.146, 0.001]
Reward: 10   	chromosome: [160, 201, 49, 201]           [0.419, 0.57, 0.053, 0.986]
Reward: 10   	chromosome: [81, 201, 242, 81]            [0.005, 0.662, 0.024, 0.201]
Reward: 10   	chromosome: [93, 29, 49]                  [0.005, 0.662, 0.024, 0.001]
Reward: 10   	chromosome: [158, 218, 81]                [0.405, 0.662, 0.179, 2.792]
Reward: 10   	chromosome: [81, 201, 81]                 [0.369, 0.662, 0.024, 0.001]
Reward: 10   	chromosome: [93, 201, 148, 153]           [0.419, 0.57, 0.024, 0.001]
Reward: 10   	chromosome: [148, 153, 10]                [0.419, 1.625, 0.024, 1.358]
Reward: 10   	chromosome: [81, 201, 81]                 [0.405, 1.625, 0.024, 0.001]
Reward: 10   	chromosome: [81, 218, 133]                [0.775, 0.811, 0.024, 2.792]
Reward: 10   	chromosome: [158, 10, 138, 161]           [0.405, 0.811, 0.017, 0.926]
Reward: 10   	chromosome: [218, 201, 81]                [0.405, 0.811, 0.024, 2.792]
Reward: 10   	chromosome: [96, 152, 21, 196, 49]        [0.728, 0.791, 0.231, 1.51]
Reward: 10   	chromosome: [204, 81, 81]                 [0.775, 0.811, 0.095, 0.001]
Reward: 10   	chromosome: [133, 10]                     [0.369, 0.662, 0.024, 2.4]
Reward: 10   	chromosome: [161, 81, 81]                 [0.005, 0.662, 0.024, 0.001]
Reward: 10   	chromosome: [81, 39, 201, 81]             [0.405, 1.828, 0.024, 0.001]
Reward: 10   	chromosome: [201, 158, 218, 133]          [0.405, 1.247, 0.024, 2.792]
Reward: 10   	chromosome: [82, 201, 158]                [0.775, 1.828, 0.024, 0.001]
Reward: 10   	chromosome: [81, 218, 12]                 [0.005, 0.811, 0.024, 2.792]
Reward: 10   	chromosome: [133, 201, 81]                [0.005, 0.811, 0.024, 2.792]
