Generation: 79	Total Reward: 9838.0
Reward: 500   	chromosome: [148, 153, 81, 81]            [0.405, 1.625, 0.024, 0.001]
Reward: 416   	chromosome: [148, 153, 81, 81]            [0.005, 0.662, 0.024, 0.001]
Reward: 360   	chromosome: [148, 153, 81, 81]            [0.405, 1.828, 0.024, 0.001]
Reward: 308   	chromosome: [148, 153, 81, 81]            [0.152, 1.625, 0.024, 0.001]
Reward: 307   	chromosome: [148, 153, 81, 81]            [0.005, 0.662, 0.024, 0.001]
Reward: 280   	chromosome: [10, 201, 81]                 [0.405, 1.625, 0.024, 0.001]
Reward: 258   	chromosome: [10, 201, 81]                 [0.775, 0.811, 0.024, 0.001]
Reward: 253   	chromosome: [81, 93, 201]                 [0.005, 0.662, 0.024, 0.001]
Reward: 251   	chromosome: [201, 81, 81]                 [0.005, 0.57, 0.024, 0.001]
Reward: 242   	chromosome: [93, 201, 81]                 [0.005, 1.828, 0.024, 0.001]
Reward: 241   	chromosome: [201, 81, 81]                 [0.126, 0.811, 0.053, 0.001]
Reward: 238   	chromosome: [10, 201, 81]                 [0.005, 1.625, 0.024, 0.001]
Reward: 236   	chromosome: [153, 81, 10, 201]            [0.005, 0.811, 0.024, 0.001]
Reward: 235   	chromosome: [158, 218, 133]               [0.405, 1.625, 0.024, 2.792]
Reward: 233   	chromosome: [201, 81, 81]                 [0.005, 0.662, 0.024, 0.001]
Reward: 229   	chromosome: [10, 201, 81]                 [0.005, 1.625, 0.024, 0.001]
Reward: 225   	chromosome: [10, 201, 81]                 [0.714, 0.443, 0.024, 0.001]
Reward: 224   	chromosome: [10, 201, 81]                 [0.405, 1.828, 0.024, 0.001]
Reward: 223   	chromosome: [10, 201, 81]                 [0.126, 0.57, 0.053, 0.001]
Reward: 219   	chromosome: [10, 201, 81]                 [0.137, 1.625, 0.024, 0.001]
Reward: 217   	chromosome: [158, 218, 133]               [0.405, 1.625, 0.024, 2.283]
Reward: 214   	chromosome: [93, 201, 81]                 [0.775, 1.625, 0.024, 0.001]
Reward: 214   	chromosome: [81, 81, 39]                  [0.182, 0.811, 0.024, 0.001]
Reward: 209   	chromosome: [201, 81, 81]                 [0.405, 1.625, 0.024, 0.001]
Reward: 205   	chromosome: [201, 81, 81]                 [0.405, 1.625, 0.024, 0.001]
Reward: 204   	chromosome: [201, 81, 81]                 [0.405, 1.828, 0.024, 0.001]
Reward: 200   	chromosome: [158, 218, 133]               [0.137, 1.625, 0.024, 2.792]
Reward: 196   	chromosome: [10, 201, 81]                 [0.005, 0.662, 0.024, 0.001]
Reward: 194   	chromosome: [81, 158]                     [0.714, 0.811, 0.024, 0.001]
Reward: 181   	chromosome: [10, 201, 81]                 [0.238, 1.625, 0.024, 0.001]
Reward: 180   	chromosome: [81, 81, 39]                  [0.405, 1.625, 0.024, 0.001]
Reward: 175   	chromosome: [201, 81, 81]                 [0.775, 1.828, 0.024, 0.001]
Reward: 173   	chromosome: [10, 201, 81]                 [0.238, 1.625, 0.024, 0.001]
Reward: 164   	chromosome: [10, 201, 81]                 [0.799, 0.662, 0.024, 0.001]
Reward: 162   	chromosome: [81, 158]                     [0.714, 0.811, 0.02, 0.001]
