Generation: 9	Total Reward: 3457.0
Reward: 500   	chromosome: [204, 78]
Reward: 500   	chromosome: [204, 78]
Reward: 175   	chromosome: [249, 78]
Reward: 171   	chromosome: [94, 81]
Reward: 129   	chromosome: [62, 227, 136, 144, 201]
Reward: 96   	chromosome: [115, 123, 137, 107]
Reward: 92   	chromosome: [73, 171, 120, 201]
Reward: 73   	chromosome: [204, 122, 27, 172]
Reward: 61   	chromosome: [67, 29, 33, 229, 63]
Reward: 61   	chromosome: [148, 157, 55, 144, 201]
Reward: 60   	chromosome: [204, 122, 27, 172]
Reward: 60   	chromosome: [204, 125, 27, 172, 201]
Reward: 46   	chromosome: [94, 81]
Reward: 45   	chromosome: [10, 148, 137, 135, 30]
Reward: 45   	chromosome: [78, 158]
Reward: 43   	chromosome: [43, 108, 178]
Reward: 42   	chromosome: [106, 226, 205]
Reward: 41   	chromosome: [73, 227, 136, 120, 30]
Reward: 39   	chromosome: [181, 157, 217]
Reward: 39   	chromosome: [106, 226, 205]
Reward: 38   	chromosome: [106, 226, 76, 120, 30]
Reward: 34   	chromosome: [62, 227, 136, 131]
Reward: 33   	chromosome: [73, 171]
Reward: 33   	chromosome: [43, 108, 178]
Reward: 31   	chromosome: [106, 226, 205]
Reward: 30   	chromosome: [43, 108, 178]
Reward: 29   	chromosome: [106, 226, 205]
Reward: 29   	chromosome: [78, 158, 205]
Reward: 29   	chromosome: [62, 227, 136, 131]
Reward: 26   	chromosome: [73, 123, 137, 172]
Reward: 25   	chromosome: [237, 129, 135, 95]
Reward: 25   	chromosome: [204, 125, 33, 172, 201]
Reward: 25   	chromosome: [115, 148, 120, 201]
Reward: 24   	chromosome: [115, 148, 137, 120, 30]
Reward: 22   	chromosome: [230, 125, 27, 60, 201]
Reward: 22   	chromosome: [237, 123, 137, 95]
Reward: 21   	chromosome: [10, 148, 135, 135, 30]
Reward: 17   	chromosome: [115, 195, 137, 45, 30]
Reward: 16   	chromosome: [181, 157, 217, 144, 201]
Reward: 16   	chromosome: [106, 227, 120, 131]
Reward: 16   	chromosome: [73, 195, 76, 120, 30]
Reward: 15   	chromosome: [78, 229, 58, 100]
Reward: 14   	chromosome: [50, 81, 104, 122, 73]
Reward: 14   	chromosome: [78, 158, 205]
Reward: 13   	chromosome: [172, 148, 137, 107]
Reward: 13   	chromosome: [115, 195, 135, 45, 30]
Reward: 13   	chromosome: [78, 75]
Reward: 12   	chromosome: [106, 182, 198, 95, 212]
Reward: 12   	chromosome: [73, 123, 137, 172]
Reward: 12   	chromosome: [115, 148]
Reward: 11   	chromosome: [78, 122, 151, 120]
Reward: 11   	chromosome: [62, 227, 136, 131]
Reward: 11   	chromosome: [73, 217]
Reward: 11   	chromosome: [73, 229]
Reward: 11   	chromosome: [73, 227, 136, 172]
Reward: 11   	chromosome: [111, 72, 120, 235]
Reward: 10   	chromosome: [181, 123, 137, 107]
Reward: 10   	chromosome: [106, 182, 198, 122, 212]
Reward: 10   	chromosome: [78, 151, 120, 201]
Reward: 10   	chromosome: [111, 76, 235, 60]
Reward: 10   	chromosome: [106, 182, 104, 95, 212]
Reward: 10   	chromosome: [115, 148]
Reward: 10   	chromosome: [50, 182, 198, 122, 212]
Reward: 10   	chromosome: [181, 108, 178]
Reward: 10   	chromosome: [43, 157, 217]
Reward: 10   	chromosome: [249, 78, 137, 107]
Reward: 10   	chromosome: [78, 151, 120, 201, 60]
Reward: 10   	chromosome: [115, 171]
Reward: 10   	chromosome: [78, 75]
Reward: 10   	chromosome: [106, 227, 136]
Reward: 10   	chromosome: [62, 226, 205, 144, 201]
Reward: 10   	chromosome: [67, 29, 27, 229, 63]
Reward: 10   	chromosome: [106, 157, 76, 144, 201]
Reward: 10   	chromosome: [181, 182, 38, 107, 212]
Reward: 10   	chromosome: [78, 122, 136, 120, 30]
Reward: 10   	chromosome: [73, 171, 137, 120, 30]
Reward: 10   	chromosome: [73, 129, 135, 172, 78]
Reward: 10   	chromosome: [78, 158, 137, 107]
Reward: 9   	chromosome: [73, 171]
Reward: 9   	chromosome: [115, 195, 76, 120, 30]
Reward: 9   	chromosome: [50, 182, 198, 122, 212]
Reward: 9   	chromosome: [204, 125, 27, 60, 201]
Reward: 9   	chromosome: [62, 227, 136, 131]
Reward: 9   	chromosome: [50, 81, 198, 122, 73]
Reward: 9   	chromosome: [111, 227, 120, 60]
Reward: 9   	chromosome: [106, 76, 235, 131]
Reward: 9   	chromosome: [78, 171, 58, 100]
Reward: 9   	chromosome: [106, 226, 217, 144, 201]
Reward: 9   	chromosome: [62, 123, 137, 131]
Reward: 9   	chromosome: [172, 148]
Reward: 9   	chromosome: [106, 123, 198, 122]
Reward: 9   	chromosome: [89, 81]
Reward: 9   	chromosome: [73, 227, 151, 120]
Reward: 9   	chromosome: [94, 227]
Reward: 9   	chromosome: [62, 81, 136, 131]
Reward: 9   	chromosome: [115, 123, 205]
Reward: 8   	chromosome: [111, 72, 120, 235, 60]
Reward: 8   	chromosome: [181, 157, 205]
Reward: 8   	chromosome: [148, 114, 55, 120, 30]
Reward: 8   	chromosome: [73, 217, 205]
