Generation: 29	Total Reward: 13252.0
Reward: 500   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.191, 0.0375]
Reward: 500   	chromosome: [89, 10, 86, 188, 115]        [0.666, 1.412, 0.084, 0.063]
Reward: 500   	chromosome: [89, 10, 86, 188, 115]        [0.666, 1.412, 0.228, 0.063]
Reward: 500   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.228, 0.063]
Reward: 500   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.084, 0.063]
Reward: 500   	chromosome: [89, 10, 86, 188, 115]        [0.666, 1.412, 0.191, 0.063]
Reward: 500   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.014, 0.228, 0.0375]
Reward: 500   	chromosome: [89, 10, 86, 188, 115]        [0.666, 1.412, 0.228, 0.063]
Reward: 491   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.228, 0.063]
Reward: 483   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.228, 0.063]
Reward: 444   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.191, 0.0375]
Reward: 443   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.228, 0.063]
Reward: 419   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.014, 0.228, 0.0335]
Reward: 401   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.191, 0.0375]
Reward: 389   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.014, 0.228, 0.063]
Reward: 363   	chromosome: [89, 154, 86, 188, 115]       [0.408, 1.412, 0.228, 0.01]
Reward: 343   	chromosome: [89, 10, 86, 188, 115]        [0.666, 1.412, 0.228, 0.063]
Reward: 333   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.191, 0.0375]
Reward: 309   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.191, 0.063]
Reward: 304   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.228, 0.063]
Reward: 300   	chromosome: [89, 10, 86, 188, 115]        [0.666, 1.412, 0.228, 0.063]
Reward: 292   	chromosome: [89, 10, 86, 188, 115]        [0.666, 1.412, 0.084, 0.063]
Reward: 287   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.084, 0.063]
Reward: 270   	chromosome: [89, 10, 86, 188, 115]        [0.441, 1.412, 0.084, 0.063]
Reward: 255   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.228, 0.063]
Reward: 253   	chromosome: [89, 154, 86, 188, 115]       [0.441, 1.014, 0.191, 0.063]
Reward: 235   	chromosome: [89, 154, 86, 188, 115]       [0.441, 1.412, 0.211, 0.063]
Reward: 213   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.228, 0.063]
Reward: 200   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.014, 0.228, 0.063]
Reward: 163   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.228, 0.0375]
Reward: 160   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.084, 0.0375]
Reward: 149   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.228, 0.0375]
Reward: 142   	chromosome: [154, 86, 188, 115]           [0.666, 1.014, 0.228, 0.063]
Reward: 136   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.228, 0.063]
Reward: 127   	chromosome: [89, 10, 86, 188, 115]        [0.666, 1.412, 0.191, 0.063]
Reward: 126   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.191, 0.063]
Reward: 110   	chromosome: [89, 10, 86, 188, 115]        [0.408, 1.412, 0.228, 0.01]
Reward: 100   	chromosome: [89, 10, 86, 188, 115]        [0.666, 1.412, 0.191, 0.0375]
Reward: 94   	chromosome: [89, 10, 86, 188, 115]        [0.666, 1.412, 0.127, 0.063]
Reward: 76   	chromosome: [89, 10, 86, 188, 115]        [0.666, 1.412, 0.191, 0.0375]
Reward: 71   	chromosome: [19, 82, 105, 115, 3]         [0.279, 0.861, 0.146, 0.4325]
Reward: 66   	chromosome: [154, 147]                    [0.756, 0.043, 0.088, 0.3125]
Reward: 47   	chromosome: [89, 10, 86, 188]             [0.666, 1.014, 0.228, 0.0375]
Reward: 46   	chromosome: [26, 233]                     [0.096, 0.487, 0.037, 0.3535]
Reward: 28   	chromosome: [124, 116, 229]               [0.729, 0.202, 0.034, 0.174]
Reward: 27   	chromosome: [89, 10, 86, 188]             [0.666, 1.412, 0.191, 0.063]
Reward: 25   	chromosome: [91, 158]                     [0.591, 1.412, 0.084, 0.063]
Reward: 24   	chromosome: [89, 154, 86, 188, 115]       [0.666, 1.412, 0.191, 0.155]
Reward: 22   	chromosome: [162, 67, 22, 146]            [0.071, 1.969, 0.221, 0.0045]
Reward: 15   	chromosome: [109, 160]                    [0.363, 0.797, 0.047, 0.05]
Reward: 11   	chromosome: [107, 121, 6]                 [0.594, 0.796, 0.185, 0.16]
Reward: 10   	chromosome: [223, 6, 114, 15]             [0.62, 0.959, 0.033, 0.3605]
Reward: 10   	chromosome: [166, 214, 72, 82, 90]        [0.564, 0.098, 0.187, 0.4355]
Reward: 10   	chromosome: [76, 229, 176]                [0.088, 0.3, 0.03, 0.0275]
Reward: 10   	chromosome: [251, 196]                    [0.262, 0.469, 0.16, 0.339]
Reward: 10   	chromosome: [101, 127, 221]               [0.489, 0.672, 0.087, 0.2715]
Reward: 10   	chromosome: [250, 63, 254, 61, 255]       [0.603, 0.449, 0.232, 0.161]
Reward: 10   	chromosome: [148, 141, 133, 100, 91]      [0.687, 1.256, 0.042, 0.234]
Reward: 10   	chromosome: [137, 222]                    [0.634, 1.261, 0.234, 0.0905]
Reward: 10   	chromosome: [127, 117, 237, 141]          [0.65, 0.024, 0.006, 0.359]
Reward: 10   	chromosome: [82, 102, 101, 34, 51]        [0.573, 0.444, 0.167, 0.3795]
Reward: 10   	chromosome: [27, 240, 43]                 [0.511, 0.804, 0.018, 0.2315]
Reward: 10   	chromosome: [97, 59, 196]                 [0.625, 0.503, 0.115, 0.335]
Reward: 10   	chromosome: [11, 226]                     [0.178, 1.927, 0.238, 0.0695]
Reward: 10   	chromosome: [94, 201, 48, 200]            [0.66, 1.003, 0.145, 0.1285]
Reward: 10   	chromosome: [89, 10, 86, 115]             [0.666, 1.412, 0.191, 0.063]
Reward: 10   	chromosome: [248, 162]                    [0.573, 0.048, 0.023, 0.273]
Reward: 10   	chromosome: [45, 185, 164, 235, 207]      [0.603, 0.627, 0.129, 0.2155]
Reward: 10   	chromosome: [10, 160, 223, 42]            [0.037, 1.598, 0.133, 0.13]
Reward: 10   	chromosome: [168, 164]                    [0.701, 0.473, 0.187, 0.4415]
Reward: 10   	chromosome: [118, 222, 46, 13]            [0.521, 1.856, 0.146, 0.141]
Reward: 10   	chromosome: [55, 30, 100, 223]            [0.377, 1.945, 0.046, 0.1225]
Reward: 10   	chromosome: [54, 10, 86, 198, 188]        [0.144, 0.949, 0.09, 0.3495]
Reward: 10   	chromosome: [186, 28, 167, 139, 202]      [0.307, 0.497, 0.04, 0.162]
Reward: 9   	chromosome: [177, 48, 82, 55, 91]         [0.142, 0.813, 0.126, 0.1625]
Reward: 9   	chromosome: [120, 52, 121, 219]           [0.772, 1.702, 0.028, 0.1905]
Reward: 9   	chromosome: [26, 160]                     [0.399, 0.517, 0.135, 0.322]
Reward: 9   	chromosome: [224, 250]                    [0.694, 1.557, 0.147, 0.324]
Reward: 9   	chromosome: [216, 238, 146, 135]          [0.056, 1.39, 0.047, 0.4135]
Reward: 9   	chromosome: [116, 167]                    [0.39, 1.911, 0.047, 0.0325]
Reward: 9   	chromosome: [167, 65]                     [0.35, 1.805, 0.094, 0.3415]
Reward: 9   	chromosome: [158, 51]                     [0.165, 0.938, 0.211, 0.404]
Reward: 9   	chromosome: [142, 10, 38, 78, 187]        [0.494, 0.26, 0.147, 0.3965]
Reward: 9   	chromosome: [69, 171, 200, 3, 226]        [0.6, 0.004, 0.085, 0.009]
Reward: 9   	chromosome: [50, 57, 131, 214, 132]       [0.677, 0.817, 0.126, 0.248]
Reward: 9   	chromosome: [216, 238, 207, 226, 142]     [0.517, 1.02, 0.041, 0.4985]
Reward: 9   	chromosome: [132, 16, 30, 252, 113]       [0.02, 0.232, 0.053, 0.3055]
Reward: 9   	chromosome: [77, 45, 124, 8]              [0.388, 0.302, 0.236, 0.307]
Reward: 9   	chromosome: [178, 108, 14]                [0.65, 1.913, 0.083, 0.4565]
Reward: 9   	chromosome: [250, 37, 201]                [0.564, 1.298, 0.017, 0.3675]
Reward: 9   	chromosome: [157, 29, 11, 116]            [0.739, 0.757, 0.19, 0.351]
Reward: 9   	chromosome: [89, 105, 172, 188, 115]      [0.441, 1.412, 0.191, 0.0375]
Reward: 9   	chromosome: [159, 220, 240, 195, 31]      [0.786, 0.408, 0.042, 0.0145]
Reward: 9   	chromosome: [222, 175, 183]               [0.009, 1.093, 0.123, 0.4795]
Reward: 9   	chromosome: [255, 206, 246, 70, 146]      [0.749, 1.438, 0.044, 0.003]
Reward: 9   	chromosome: [193, 161, 186, 84]           [0.334, 1.11, 0.007, 0.034]
Reward: 8   	chromosome: [178, 189]                    [0.483, 1.292, 0.077, 0.4645]
Reward: 8   	chromosome: [72, 155, 86, 188, 115]       [0.666, 1.841, 0.063, 0.2425]
Reward: 8   	chromosome: [152, 191, 120, 98]           [0.261, 0.587, 0.204, 0.1415]
Reward: 8   	chromosome: [19, 63, 111, 25]             [0.157, 0.673, 0.232, 0.204]
